,0-04歳,05-09歳,10-14歳,15-19歳,20-24歳,25-29歳,30-34歳,35-39歳,40-44歳,45-49歳,50-54歳,55-59歳,60-64歳,65-69歳,70-74歳,75-79歳,80-84歳,85-89歳,90-94歳,95-99歳,100歳以上,不詳
総数,184,20,28,79,161,177,266,362,720,1187,1599,2352,3487,6278,10425,13980,18755,23742,21127,10478,2536,36
Se01 結核,0,0,0,0,0,0,0,0,3,0,1,0,1,6,7,13,30,39,36,20,3,0
Se02 悪性新生物＜腫瘍＞,9,3,4,8,7,22,58,91,201,403,598,954,1567,2903,4731,5343,5575,5224,3123,942,104,5
Se03 食道の悪性新生物＜腫瘍＞,0,0,0,0,0,0,1,0,4,11,19,39,60,108,163,177,170,115,45,14,1,0
Se04 胃の悪性新生物＜腫瘍＞,0,0,0,0,0,3,7,10,11,27,37,85,164,360,521,601,643,579,352,106,16,1
Se05 結腸の悪性新生物＜腫瘍＞,0,0,0,0,0,2,5,12,19,32,60,90,140,268,440,509,510,528,396,135,16,1
Se06 直腸Ｓ状結腸移行部及び直腸の悪性新生物＜腫瘍＞,0,0,0,0,0,0,2,5,12,22,41,55,114,165,236,220,202,178,71,38,3,0
Se07 肝及び肝内胆管の悪性新生物＜腫瘍＞,1,0,1,0,0,2,0,3,7,14,19,44,70,179,289,311,401,415,210,51,5,0
Se08 胆のう及びその他の胆道の悪性新生物＜腫瘍＞,0,0,0,0,0,0,0,3,0,4,6,24,51,100,157,266,291,353,207,65,8,0
Se09 膵の悪性新生物＜腫瘍＞,0,0,0,0,0,0,1,3,9,32,54,113,170,290,543,611,545,454,272,77,3,1
Se10 気管，気管支及び肺の悪性新生物＜腫瘍＞,0,0,0,0,0,0,1,8,19,37,80,142,272,582,1100,1225,1167,1027,547,146,14,1
Se11 乳房の悪性新生物＜腫瘍＞,0,0,0,0,0,0,15,8,45,63,88,92,105,135,161,134,125,112,70,45,12,0
Se12 子宮の悪性新生物＜腫瘍＞,0,0,0,0,0,0,2,10,18,39,42,47,49,69,82,55,54,51,29,7,1,0
Se13 白血病,4,1,0,2,4,5,2,4,6,10,19,21,20,66,115,129,153,109,48,15,1,0
Se14 糖尿病,0,0,0,0,0,0,1,6,3,20,17,29,50,85,132,182,203,249,164,68,8,0
Se15 高血圧性疾患,0,0,0,0,0,0,0,0,4,8,7,12,29,38,46,80,114,168,209,123,36,1
Se16 心疾患（高血圧性を除く）,5,1,1,2,4,7,26,34,93,122,207,302,429,781,1306,1870,2798,3928,3755,1972,445,5
Se17 急性心筋梗塞,0,0,0,0,0,1,3,8,27,31,60,93,90,163,311,338,424,514,341,133,26,0
Se18 その他の虚血性心疾患,0,0,0,0,0,1,6,7,15,27,66,78,141,222,368,486,601,668,445,162,34,3
Se19 不整脈及び伝導障害,1,0,0,1,4,2,6,10,20,18,31,57,77,143,211,275,425,609,559,288,47,1
Se20 心不全,0,0,0,0,0,2,7,5,16,23,32,49,79,176,281,569,1066,1685,1940,1163,301,1
Se21 脳血管疾患,3,0,3,0,1,4,4,15,60,116,152,183,238,433,734,1034,1483,1988,1675,772,136,3
Se22 くも膜下出血,2,0,1,0,1,1,1,5,17,53,50,54,58,80,121,148,124,160,105,36,5,2
Se23 脳内出血,0,0,2,0,0,2,3,9,38,54,87,98,133,217,310,370,480,572,334,140,18,1
Se24 脳梗塞,0,0,0,0,0,1,0,1,3,5,12,25,41,123,274,490,840,1205,1201,578,111,0
Se25 大動脈瘤及び解離,0,0,1,0,0,2,0,3,11,21,36,52,78,105,187,212,287,388,254,81,8,1
Se26 肺炎,3,0,0,0,0,1,1,4,4,13,23,35,89,181,388,739,1292,1921,1854,872,191,1
Se27 慢性閉塞性肺疾患,0,0,0,0,0,0,0,0,0,0,3,5,15,46,118,224,296,344,241,85,12,0
Se28 喘息,0,0,0,0,0,0,1,1,0,2,2,1,1,6,5,11,18,26,18,17,1,0
Se29 肝疾患,1,0,0,0,0,1,3,17,40,53,112,117,140,169,202,220,207,166,104,18,2,0
Se30 腎不全,0,0,0,0,0,0,1,2,3,5,21,18,36,91,155,230,450,589,552,223,46,0
Se31 老衰,0,0,0,0,0,0,0,0,0,0,0,0,5,15,67,281,894,2167,3705,2878,1088,1
Se32 不慮の事故,17,3,5,12,30,22,17,21,35,61,73,91,103,193,295,401,539,702,527,182,36,1
Se33 交通事故,6,1,2,4,23,11,8,7,10,20,22,15,18,27,38,38,24,23,13,2,0,0
Se34 自殺,0,0,5,38,96,85,108,107,147,168,122,152,121,126,120,109,85,51,22,6,1,3
