,0-04歳,05-09歳,10-14歳,15-19歳,20-24歳,25-29歳,30-34歳,35-39歳,40-44歳,45-49歳,50-54歳,55-59歳,60-64歳,65-69歳,70-74歳,75-79歳,80-84歳,85-89歳,90-94歳,95-99歳,100歳以上,不詳
総数,263,40,44,123,224,269,350,558,935,1216,1777,2897,5869,6646,9266,13342,17864,18252,13091,6510,1571,99
Se01 結核,0,0,0,0,0,0,0,0,1,1,0,1,5,5,18,30,37,56,27,5,0,0
Se02 悪性新生物＜腫瘍＞,9,5,11,14,22,28,51,104,259,400,741,1368,2976,3322,4213,5264,5542,4082,1938,633,75,4
Se03 食道の悪性新生物＜腫瘍＞,0,0,0,0,0,0,1,3,4,12,27,73,168,159,178,168,139,85,33,5,0,0
Se04 胃の悪性新生物＜腫瘍＞,0,0,0,0,1,4,8,10,35,43,86,177,408,406,621,729,775,565,305,107,16,1
Se05 結腸の悪性新生物＜腫瘍＞,0,0,0,0,0,3,3,5,26,33,48,100,251,277,334,435,531,458,249,90,8,0
Se06 直腸Ｓ状結腸移行部及び直腸の悪性新生物＜腫瘍＞,0,0,0,0,0,0,2,6,6,17,27,77,180,153,203,219,190,126,62,33,5,0
Se07 肝及び肝内胆管の悪性新生物＜腫瘍＞,0,0,1,0,0,0,2,5,9,27,56,89,254,288,403,562,521,304,117,28,1,1
Se08 胆のう及びその他の胆道の悪性新生物＜腫瘍＞,0,0,0,0,0,0,1,3,4,7,17,38,85,106,203,246,311,280,149,48,4,0
Se09 膵の悪性新生物＜腫瘍＞,0,0,0,0,0,1,0,1,12,24,58,107,272,293,352,434,418,325,131,40,8,0
Se10 気管，気管支及び肺の悪性新生物＜腫瘍＞,1,0,0,0,0,0,2,3,25,46,96,197,544,784,893,1122,1139,829,353,95,7,1
Se11 乳房の悪性新生物＜腫瘍＞,0,0,0,0,0,1,7,20,40,56,102,153,170,144,109,97,99,79,36,22,3,0
Se12 子宮の悪性新生物＜腫瘍＞,0,0,0,0,0,2,3,8,19,25,35,39,62,55,51,69,62,48,28,5,1,0
Se13 白血病,3,1,4,6,8,3,6,9,9,24,20,40,72,71,91,98,114,57,32,6,1,0
Se14 糖尿病,0,0,0,0,1,0,2,1,9,8,19,34,87,94,132,188,195,186,118,34,7,0
Se15 高血圧性疾患,0,0,0,0,0,0,1,0,3,4,7,9,11,18,33,42,81,128,119,87,27,0
Se16 心疾患（高血圧性を除く）,13,2,2,7,4,13,30,43,102,146,196,291,642,722,1057,1618,2564,3004,2462,1287,284,5
Se17 急性心筋梗塞,0,0,0,0,0,3,5,14,24,50,57,104,214,231,320,445,593,606,373,133,17,0
Se18 その他の虚血性心疾患,0,0,0,1,2,1,5,6,25,41,64,62,162,170,237,331,439,464,315,153,25,2
Se19 不整脈及び伝導障害,4,0,0,0,1,4,7,10,20,19,32,41,100,101,150,253,356,409,314,142,29,1
Se20 心不全,1,0,0,3,1,5,6,6,14,17,26,55,114,141,233,432,880,1220,1197,735,189,1
Se21 脳血管疾患,0,1,2,1,2,5,10,36,80,112,163,226,432,481,812,1254,1914,2004,1503,722,120,0
Se22 くも膜下出血,0,0,1,0,0,3,3,18,36,46,61,56,116,92,126,139,182,117,71,22,2,0
Se23 脳内出血,0,0,1,1,2,1,6,15,37,55,84,143,201,217,301,413,505,437,268,109,12,0
Se24 脳梗塞,0,0,0,0,0,0,0,2,5,8,14,20,104,160,373,676,1191,1408,1139,574,101,0
Se25 大動脈瘤及び解離,0,0,0,0,1,2,2,5,13,18,24,30,75,92,116,199,255,267,148,48,5,0
Se26 肺炎,6,3,1,2,3,4,4,8,16,16,28,83,166,252,527,1066,1961,2467,2028,974,226,0
Se27 慢性閉塞性肺疾患,0,0,0,0,0,0,0,0,0,1,1,8,31,43,97,222,318,380,193,57,14,0
Se28 喘息,0,0,0,1,0,0,0,0,1,2,2,2,5,6,7,22,25,33,23,7,1,0
Se29 肝疾患,0,0,0,0,0,3,4,9,46,54,63,106,163,166,169,167,178,120,64,14,2,2
Se30 腎不全,0,0,0,0,1,0,0,2,1,8,12,25,64,90,151,211,397,464,367,158,32,0
Se31 老衰,0,0,0,0,0,0,0,0,0,0,0,0,0,9,18,93,397,975,1448,1183,481,0
Se32 不慮の事故,26,11,9,36,44,36,48,68,86,93,111,165,247,276,369,512,609,500,289,144,20,40
Se33 交通事故,5,8,2,30,26,19,21,23,28,24,19,33,51,58,68,97,73,45,17,1,0,0
Se34 自殺,0,0,4,37,115,134,127,196,202,188,188,181,226,174,132,129,100,84,22,12,0,19
