,0-04歳,05-09歳,10-14歳,15-19歳,20-24歳,25-29歳,30-34歳,35-39歳,40-44歳,45-49歳,50-54歳,55-59歳,60-64歳,65-69歳,70-74歳,75-79歳,80-84歳,85-89歳,90-94歳,95-99歳,100歳以上,不詳
総数,177,29,39,106,186,201,261,394,701,1122,1479,2075,3379,6871,8195,11890,16951,20285,16693,7869,1995,44
Se01 結核,0,0,0,0,0,0,0,0,0,1,0,3,4,5,14,16,29,57,37,11,2,1
Se02 悪性新生物＜腫瘍＞,7,7,13,10,15,28,41,98,234,394,563,965,1753,3511,4019,4880,5618,4945,2707,759,93,1
Se03 食道の悪性新生物＜腫瘍＞,0,0,0,0,0,0,1,0,4,13,16,34,87,165,154,173,155,107,49,11,1,0
Se04 胃の悪性新生物＜腫瘍＞,0,0,0,0,0,3,3,7,21,35,46,95,201,413,448,614,674,636,359,118,8,0
Se05 結腸の悪性新生物＜腫瘍＞,0,0,1,1,0,2,6,9,24,35,57,88,144,307,334,449,510,501,320,124,17,0
Se06 直腸Ｓ状結腸移行部及び直腸の悪性新生物＜腫瘍＞,0,0,0,0,1,0,4,3,12,24,33,65,112,191,173,192,192,157,73,34,2,0
Se07 肝及び肝内胆管の悪性新生物＜腫瘍＞,0,0,0,0,2,1,0,3,6,16,29,68,110,243,297,344,498,376,175,38,4,0
Se08 胆のう及びその他の胆道の悪性新生物＜腫瘍＞,0,0,0,0,0,0,1,0,4,7,19,24,70,128,174,212,312,313,180,54,8,0
Se09 膵の悪性新生物＜腫瘍＞,0,0,0,0,0,1,0,6,14,32,43,99,179,356,401,492,534,426,209,48,10,0
Se10 気管，気管支及び肺の悪性新生物＜腫瘍＞,0,0,0,0,0,0,2,5,19,36,72,147,286,741,951,1072,1143,977,509,102,9,1
Se11 乳房の悪性新生物＜腫瘍＞,0,0,0,0,0,1,6,15,47,61,72,100,121,159,144,125,119,97,71,22,6,0
Se12 子宮の悪性新生物＜腫瘍＞,0,0,0,0,0,1,3,8,11,31,40,50,44,82,51,70,57,49,32,14,2,0
Se13 白血病,2,2,4,0,4,6,5,10,12,17,23,25,49,91,104,134,141,98,53,5,1,0
Se14 糖尿病,0,0,0,0,1,1,0,3,5,13,12,27,37,88,95,146,176,181,131,57,13,0
Se15 高血圧性疾患,0,0,0,1,0,0,0,0,0,2,3,7,17,30,29,36,94,142,140,107,38,0
Se16 心疾患（高血圧性を除く）,8,0,3,3,8,17,10,28,67,136,179,253,332,734,838,1369,2145,3148,2785,1420,314,1
Se17 急性心筋梗塞,0,0,0,1,1,3,2,5,20,33,47,79,95,215,193,275,401,454,304,115,15,0
Se18 その他の虚血性心疾患,0,0,0,0,1,3,0,4,11,32,59,78,83,222,221,317,348,384,308,119,26,1
Se19 不整脈及び伝導障害,3,0,1,1,4,5,3,8,14,27,28,23,61,91,113,219,323,495,384,187,34,0
Se20 心不全,1,0,0,1,0,5,2,7,13,28,25,40,64,130,222,403,788,1416,1475,853,220,0
Se21 脳血管疾患,0,2,1,1,3,2,12,24,55,104,127,131,229,422,530,918,1491,1762,1411,665,134,1
Se22 くも膜下出血,0,2,1,0,3,0,5,11,27,51,50,40,69,74,86,127,159,127,66,28,2,0
Se23 脳内出血,0,0,0,1,0,2,6,11,21,45,63,68,101,192,196,320,420,422,296,87,14,1
Se24 脳梗塞,0,0,0,0,0,0,0,1,4,6,11,19,53,145,235,449,875,1169,1025,535,109,0
Se25 大動脈瘤及び解離,0,0,0,0,1,0,2,4,11,21,28,42,52,106,133,179,261,304,210,73,2,1
Se26 肺炎,4,1,0,0,1,2,1,2,2,16,16,23,44,195,321,614,1233,1779,1615,783,171,0
Se27 慢性閉塞性肺疾患,1,0,0,0,0,0,0,0,1,1,3,3,14,49,115,197,292,393,238,67,7,0
Se28 喘息,0,0,0,0,0,0,1,1,1,4,2,3,4,5,7,12,17,39,30,13,9,0
Se29 肝疾患,0,0,0,0,0,2,3,15,30,53,80,84,119,160,120,172,168,129,71,12,2,0
Se30 腎不全,1,0,0,1,0,0,0,1,2,4,5,8,24,74,110,180,342,481,407,142,23,0
Se31 老衰,0,0,0,0,0,0,0,0,0,0,0,0,1,17,57,162,634,1659,2536,1906,809,0
Se32 不慮の事故,11,7,4,17,27,26,14,18,35,45,50,71,105,162,222,269,390,488,347,163,27,2
Se33 交通事故,2,3,2,9,14,17,12,10,12,17,15,22,26,36,44,43,62,35,16,3,0,0
Se34 自殺,0,0,8,50,101,85,123,115,144,174,160,123,133,138,101,108,111,61,23,3,1,1
