,0-04歳,05-09歳,10-14歳,15-19歳,20-24歳,25-29歳,30-34歳,35-39歳,40-44歳,45-49歳,50-54歳,55-59歳,60-64歳,65-69歳,70-74歳,75-79歳,80-84歳,85-89歳,90-94歳,95-99歳,100歳以上,不詳
総数,198,31,38,87,179,196,249,391,626,1084,1560,2218,3407,6038,9228,12658,16895,21031,18691,8652,2139,59
Se01 結核,0,0,0,0,0,0,0,0,0,0,1,3,1,3,6,12,28,48,48,13,0,0
Se02 悪性新生物＜腫瘍＞,8,10,8,9,8,18,51,88,178,378,614,986,1682,3033,4385,5243,5530,5018,3116,824,91,2
Se03 食道の悪性新生物＜腫瘍＞,0,0,0,0,0,0,0,1,7,7,19,37,60,156,188,185,154,130,55,10,1,0
Se04 胃の悪性新生物＜腫瘍＞,0,0,0,0,0,1,7,11,11,37,57,97,166,325,480,594,645,599,395,116,10,0
Se05 結腸の悪性新生物＜腫瘍＞,0,0,0,0,0,1,4,12,17,31,68,86,121,294,370,409,532,494,413,125,13,0
Se06 直腸Ｓ状結腸移行部及び直腸の悪性新生物＜腫瘍＞,0,0,0,0,0,0,3,1,9,29,31,61,106,184,218,237,200,157,100,28,4,0
Se07 肝及び肝内胆管の悪性新生物＜腫瘍＞,1,2,0,0,1,1,1,1,5,14,24,62,123,202,268,372,424,381,203,37,2,0
Se08 胆のう及びその他の胆道の悪性新生物＜腫瘍＞,0,0,0,0,0,1,2,1,4,5,13,21,52,104,158,231,278,297,205,52,15,0
Se09 膵の悪性新生物＜腫瘍＞,0,0,0,0,0,0,3,7,13,30,46,107,187,297,478,540,560,463,239,67,4,0
Se10 気管，気管支及び肺の悪性新生物＜腫瘍＞,0,0,0,0,0,0,2,3,17,32,90,143,310,678,1020,1257,1183,984,531,129,16,2
Se11 乳房の悪性新生物＜腫瘍＞,0,0,0,0,0,1,3,9,27,58,84,101,131,135,177,141,130,110,74,38,3,0
Se12 子宮の悪性新生物＜腫瘍＞,0,0,0,0,0,2,8,13,21,37,42,48,54,57,70,59,63,47,29,6,4,0
Se13 白血病,4,1,3,2,3,2,4,3,6,13,13,23,33,82,102,145,137,105,54,11,0,0
Se14 糖尿病,0,0,0,0,0,0,0,3,6,11,20,29,49,84,116,162,184,179,131,71,9,0
Se15 高血圧性疾患,0,0,0,0,0,0,0,0,1,6,8,10,23,24,51,69,77,117,153,94,21,0
Se16 心疾患（高血圧性を除く）,8,0,0,2,10,7,11,28,68,106,189,257,377,668,1074,1446,2190,3221,3158,1463,313,4
Se17 急性心筋梗塞,0,0,0,0,0,0,1,6,16,30,53,63,96,160,250,254,372,455,281,103,14,1
Se18 その他の虚血性心疾患,0,0,0,0,1,1,2,4,16,33,55,74,107,182,287,346,363,429,344,109,26,0
Se19 不整脈及び伝導障害,2,0,0,0,4,2,5,10,10,20,28,47,63,106,167,236,334,463,454,199,31,2
Se20 心不全,2,0,0,1,2,2,2,4,13,12,33,44,65,147,256,447,866,1475,1683,896,207,1
Se21 脳血管疾患,0,0,2,4,4,3,8,17,48,102,111,144,205,353,577,910,1368,1754,1522,683,123,0
Se22 くも膜下出血,0,0,2,1,2,1,5,7,26,44,43,42,50,65,95,112,126,122,81,17,7,0
Se23 脳内出血,0,0,0,3,1,2,3,9,22,45,58,76,104,170,235,306,431,477,292,106,12,0
Se24 脳梗塞,0,0,0,0,1,0,0,0,0,10,9,23,45,110,240,469,783,1125,1112,544,101,0
Se25 大動脈瘤及び解離,0,0,0,0,1,1,0,3,9,24,21,29,42,87,118,158,234,265,213,59,4,0
Se26 肺炎,3,0,0,1,0,0,2,3,5,7,19,30,74,168,315,641,1156,1791,1724,786,177,1
Se27 慢性閉塞性肺疾患,0,0,0,0,0,0,1,0,1,3,2,13,22,59,128,236,292,319,226,69,12,0
Se28 喘息,0,0,0,0,0,0,0,0,1,3,0,1,3,5,9,9,11,19,26,12,3,0
Se29 肝疾患,0,1,0,0,1,1,5,11,24,61,76,89,125,146,141,178,197,172,92,18,0,1
Se30 腎不全,0,0,0,0,0,0,0,0,3,6,15,19,29,59,145,211,341,511,455,181,17,0
Se31 老衰,0,0,0,0,0,0,0,0,0,0,0,0,3,17,64,232,766,1963,3159,2326,941,0
Se32 不慮の事故,12,4,7,14,27,16,25,35,40,53,56,74,81,144,241,290,385,451,380,165,35,4
Se33 交通事故,2,3,2,9,15,6,13,16,14,19,19,19,11,28,34,38,34,25,10,1,0,0
Se34 自殺,0,0,9,37,89,105,90,129,121,138,148,140,138,134,124,126,87,72,29,1,0,2
