,0-04歳,05-09歳,10-14歳,15-19歳,20-24歳,25-29歳,30-34歳,35-39歳,40-44歳,45-49歳,50-54歳,55-59歳,60-64歳,65-69歳,70-74歳,75-79歳,80-84歳,85-89歳,90-94歳,95-99歳,100歳以上,不詳
総数,233,49,63,126,181,240,308,431,803,1077,1571,2354,4264,7300,9143,12128,17402,19735,14948,7024,1799,44
Se01 結核,0,0,0,0,0,0,0,1,0,1,1,1,3,8,5,14,37,44,39,8,1,0
Se02 悪性新生物＜腫瘍＞,12,15,9,13,20,27,58,93,217,375,657,1086,2134,3750,4358,4836,5683,4713,2449,698,94,1
Se03 食道の悪性新生物＜腫瘍＞,0,0,0,0,0,0,1,3,8,7,23,56,97,168,193,154,138,98,41,4,1,0
Se04 胃の悪性新生物＜腫瘍＞,0,1,0,0,3,5,4,8,23,38,67,147,247,467,550,591,719,596,334,99,9,0
Se05 結腸の悪性新生物＜腫瘍＞,0,0,0,0,2,3,4,5,17,28,54,72,198,284,349,452,509,483,354,108,15,0
Se06 直腸Ｓ状結腸移行部及び直腸の悪性新生物＜腫瘍＞,0,0,0,0,0,0,0,3,7,25,35,63,122,189,191,191,223,145,76,16,4,0
Se07 肝及び肝内胆管の悪性新生物＜腫瘍＞,1,0,0,0,0,1,2,5,8,13,38,65,166,263,408,426,497,340,132,40,1,0
Se08 胆のう及びその他の胆道の悪性新生物＜腫瘍＞,0,0,0,0,1,0,0,2,4,6,13,31,71,137,189,229,295,335,150,56,5,0
Se09 膵の悪性新生物＜腫瘍＞,0,0,0,0,0,0,3,7,12,23,49,86,204,345,403,434,487,372,194,39,10,0
Se10 気管，気管支及び肺の悪性新生物＜腫瘍＞,0,0,0,0,0,0,2,7,35,45,94,163,372,841,977,1011,1230,935,439,110,14,1
Se11 乳房の悪性新生物＜腫瘍＞,0,0,0,0,3,1,8,12,39,51,85,109,143,166,127,105,100,106,50,29,4,0
Se12 子宮の悪性新生物＜腫瘍＞,0,0,0,0,0,2,7,6,10,34,48,45,46,70,58,59,58,38,32,9,0,0
Se13 白血病,4,2,4,3,1,2,6,5,8,18,18,35,57,98,101,141,127,90,40,8,1,0
Se14 糖尿病,0,0,0,1,0,5,1,4,8,13,13,35,57,88,120,137,153,188,128,41,8,0
Se15 高血圧性疾患,0,0,0,0,0,0,1,1,0,2,3,6,15,22,36,52,95,97,101,58,18,0
Se16 心疾患（高血圧性を除く）,4,4,1,4,7,11,18,42,96,111,219,277,488,842,980,1491,2368,3083,2581,1249,303,1
Se17 急性心筋梗塞,0,0,0,0,0,0,3,6,27,32,75,69,138,234,240,344,485,471,314,117,19,0
Se18 その他の虚血性心疾患,0,0,0,0,0,0,4,10,11,34,63,79,132,239,251,351,444,457,316,123,25,0
Se19 不整脈及び伝導障害,0,0,0,2,6,5,2,7,22,22,38,53,79,117,152,205,354,475,366,146,47,1
Se20 心不全,0,3,1,1,0,3,2,8,21,10,23,43,90,161,238,413,797,1296,1285,729,186,0
Se21 脳血管疾患,0,2,3,0,6,2,15,26,65,83,107,161,271,457,623,974,1525,1914,1415,637,138,1
Se22 くも膜下出血,0,1,1,0,2,0,9,12,31,35,37,60,57,111,103,103,133,145,75,22,2,0
Se23 脳内出血,0,1,2,0,2,1,4,12,33,38,57,84,139,198,225,327,448,413,288,88,15,1
Se24 脳梗塞,0,0,0,0,1,1,1,1,0,6,8,13,64,143,277,515,907,1306,1022,513,111,0
Se25 大動脈瘤及び解離,0,0,1,0,1,0,1,3,4,17,14,28,39,90,100,154,252,230,154,48,4,0
Se26 肺炎,8,0,0,0,2,4,5,3,11,12,24,40,108,250,484,877,1676,2328,1922,886,201,0
Se27 慢性閉塞性肺疾患,0,0,0,0,1,1,0,1,0,1,1,2,20,54,81,200,309,340,178,58,10,0
Se28 喘息,0,0,0,0,1,0,0,2,1,1,1,5,1,5,5,8,21,21,17,8,0,0
Se29 肝疾患,2,0,0,1,0,3,7,6,34,58,80,99,114,164,157,182,169,122,43,26,3,0
Se30 腎不全,0,0,0,0,0,0,0,1,1,8,8,13,48,57,114,223,339,450,356,150,27,0
Se31 老衰,0,0,0,0,0,0,0,0,0,0,0,0,1,8,48,154,544,1375,2089,1597,664,0
Se32 不慮の事故,15,13,14,54,33,33,26,43,71,65,62,109,163,193,266,366,491,486,301,130,28,2
Se33 交通事故,3,5,1,31,16,18,17,25,20,20,22,21,36,34,51,54,52,37,6,1,0,0
Se34 自殺,0,0,14,36,85,98,129,125,161,143,150,139,138,152,160,127,106,66,23,3,0,4
