,0-04歳,05-09歳,10-14歳,15-19歳,20-24歳,25-29歳,30-34歳,35-39歳,40-44歳,45-49歳,50-54歳,55-59歳,60-64歳,65-69歳,70-74歳,75-79歳,80-84歳,85-89歳,90-94歳,95-99歳,100歳以上,不詳
総数,150,23,38,106,186,195,247,368,644,1168,1819,2341,3383,5485,11161,13127,18797,24308,22095,11739,2920,48
Se01 結核,0,0,0,0,0,0,0,0,0,0,1,2,1,3,6,14,21,36,25,16,2,0
Se02 悪性新生物＜腫瘍＞,2,9,7,8,12,17,46,83,178,383,625,941,1492,2563,5097,5157,5768,5463,3221,996,137,1
Se03 食道の悪性新生物＜腫瘍＞,0,0,0,0,0,0,0,0,3,11,22,41,53,107,166,166,156,102,39,7,1,0
Se04 胃の悪性新生物＜腫瘍＞,0,0,0,0,1,0,2,8,8,32,52,76,131,262,494,554,643,610,360,121,11,0
Se05 結腸の悪性新生物＜腫瘍＞,0,0,0,0,1,2,1,7,26,33,60,83,137,219,502,439,521,517,428,135,23,0
Se06 直腸Ｓ状結腸移行部及び直腸の悪性新生物＜腫瘍＞,0,0,0,0,0,0,2,5,13,16,32,58,87,154,246,197,207,171,114,33,3,0
Se07 肝及び肝内胆管の悪性新生物＜腫瘍＞,0,0,0,0,2,1,2,2,7,14,17,39,98,155,316,334,393,367,202,48,3,0
Se08 胆のう及びその他の胆道の悪性新生物＜腫瘍＞,0,0,0,0,0,2,1,0,2,6,15,20,42,95,193,223,251,315,200,74,9,0
Se09 膵の悪性新生物＜腫瘍＞,0,0,0,0,0,1,4,3,10,29,70,104,183,312,580,570,607,504,236,64,8,0
Se10 気管，気管支及び肺の悪性新生物＜腫瘍＞,0,0,0,0,0,0,3,7,15,29,72,142,265,509,1211,1204,1262,1046,593,169,18,0
Se11 乳房の悪性新生物＜腫瘍＞,0,0,0,0,0,1,7,6,30,80,74,118,113,141,191,154,154,151,82,39,12,0
Se12 子宮の悪性新生物＜腫瘍＞,0,0,0,0,0,0,3,10,20,22,47,41,59,63,77,71,71,70,34,10,4,0
Se13 白血病,0,1,0,0,4,1,3,5,12,9,23,22,42,67,142,151,149,110,60,11,2,0
Se14 糖尿病,0,0,0,0,1,0,1,3,3,10,26,37,40,70,143,135,224,223,180,72,10,0
Se15 高血圧性疾患,0,0,0,0,0,0,0,0,1,8,5,13,18,29,44,58,109,169,201,134,35,0
Se16 心疾患（高血圧性を除く）,3,0,2,5,9,12,13,25,57,133,251,286,423,592,1226,1627,2490,3855,3938,2194,423,6
Se17 急性心筋梗塞,0,0,0,0,1,0,2,3,11,43,68,69,102,145,269,313,395,469,364,147,24,1
Se18 その他の虚血性心疾患,0,0,0,0,1,2,1,6,17,33,61,84,130,167,342,414,516,617,434,161,26,5
Se19 不整脈及び伝導障害,1,0,1,2,5,6,4,4,10,25,52,62,70,109,195,229,381,578,612,309,45,0
Se20 心不全,0,0,0,1,2,1,4,9,11,21,41,44,83,114,311,511,953,1758,2055,1345,283,0
Se21 脳血管疾患,1,0,1,0,5,1,12,18,44,94,150,150,221,353,750,952,1385,1847,1611,772,161,2
Se22 くも膜下出血,1,0,0,0,1,1,3,13,18,34,59,39,41,75,104,124,135,124,94,22,1,0
Se23 脳内出血,0,0,1,0,3,0,6,5,23,51,74,86,127,143,298,342,412,535,352,126,19,2
Se24 脳梗塞,0,0,0,0,1,0,1,0,3,7,14,22,48,119,320,459,799,1141,1124,594,138,0
Se25 大動脈瘤及び解離,0,0,0,0,0,0,1,2,13,17,22,23,56,89,160,184,284,312,237,94,10,0
Se26 肺炎,2,0,0,0,0,3,0,0,4,5,26,39,56,101,315,500,974,1444,1390,711,157,1
Se27 慢性閉塞性肺疾患,0,0,0,0,0,0,0,0,0,1,2,6,10,31,135,189,273,322,191,77,11,0
Se28 喘息,0,0,0,0,0,0,0,0,0,0,0,1,1,3,10,8,10,17,19,11,0,0
Se29 肝疾患,0,0,0,0,0,3,4,10,31,64,90,119,134,160,197,181,203,205,80,21,7,0
Se30 腎不全,1,0,0,0,0,1,1,2,3,6,8,18,27,66,178,226,429,595,550,247,30,0
Se31 老衰,0,0,0,0,0,0,0,0,0,0,0,0,7,24,118,330,1090,2694,4312,3489,1339,0
Se32 不慮の事故,9,2,3,20,23,12,14,18,30,51,72,55,90,126,298,330,523,600,484,235,56,3
Se33 交通事故,3,1,0,10,15,5,4,6,10,12,17,7,17,25,41,40,28,30,10,1,0,0
Se34 自殺,0,0,14,62,109,111,117,142,171,189,224,214,158,122,151,115,99,74,22,10,1,2
