,0-04歳,05-09歳,10-14歳,15-19歳,20-24歳,25-29歳,30-34歳,35-39歳,40-44歳,45-49歳,50-54歳,55-59歳,60-64歳,65-69歳,70-74歳,75-79歳,80-84歳,85-89歳,90-94歳,95-99歳,100歳以上,不詳
総数,239,43,33,146,206,254,326,572,859,1082,1726,2687,5318,6337,8561,12332,16457,17247,12479,6130,1494,60
Se01 結核,0,0,0,0,0,0,0,0,0,1,1,3,4,7,10,24,42,42,34,11,0,0
Se02 悪性新生物＜腫瘍＞,4,5,8,17,13,32,54,130,250,358,689,1254,2724,3267,4052,4922,5325,4129,2010,602,68,1
Se03 食道の悪性新生物＜腫瘍＞,0,0,0,0,0,0,0,1,3,9,19,50,132,154,174,154,127,80,27,4,1,0
Se04 胃の悪性新生物＜腫瘍＞,0,0,0,0,1,6,6,17,33,46,87,156,340,424,556,655,707,604,296,86,5,0
Se05 結腸の悪性新生物＜腫瘍＞,0,0,0,2,0,1,4,9,20,22,43,91,224,265,320,400,454,394,269,83,11,0
Se06 直腸Ｓ状結腸移行部及び直腸の悪性新生物＜腫瘍＞,0,0,0,0,0,1,4,3,11,16,39,79,155,169,185,185,190,132,67,25,2,0
Se07 肝及び肝内胆管の悪性新生物＜腫瘍＞,0,0,0,1,0,0,2,6,10,13,55,118,209,291,387,529,503,299,133,35,3,0
Se08 胆のう及びその他の胆道の悪性新生物＜腫瘍＞,0,0,0,0,0,0,0,2,5,8,15,25,99,138,196,251,295,252,157,55,3,0
Se09 膵の悪性新生物＜腫瘍＞,0,0,0,0,0,0,0,3,22,24,65,91,260,319,349,434,433,315,145,33,4,0
Se10 気管，気管支及び肺の悪性新生物＜腫瘍＞,0,0,0,0,0,3,5,9,21,40,81,211,537,677,858,1042,1151,876,325,103,11,0
Se11 乳房の悪性新生物＜腫瘍＞,0,0,0,0,0,4,6,15,49,67,79,118,153,125,112,94,93,94,39,19,2,0
Se12 子宮の悪性新生物＜腫瘍＞,0,0,0,0,0,0,5,13,25,21,31,43,67,60,54,56,63,45,22,6,1,0
Se13 白血病,1,2,4,4,4,2,3,9,6,13,18,31,52,61,88,126,98,68,30,7,0,0
Se14 糖尿病,0,0,0,0,0,0,1,3,3,16,21,22,71,87,100,152,190,167,114,46,6,0
Se15 高血圧性疾患,0,0,0,0,0,0,0,0,1,3,10,7,23,22,30,57,85,113,100,70,17,3
Se16 心疾患（高血圧性を除く）,7,3,1,7,10,12,26,46,83,124,202,303,619,710,909,1573,2267,2860,2317,1190,305,5
Se17 急性心筋梗塞,0,0,0,1,2,1,4,13,19,40,62,98,201,201,267,376,463,498,302,122,31,2
Se18 その他の虚血性心疾患,2,1,0,1,1,2,2,9,27,32,47,84,164,193,219,324,415,417,232,127,34,3
Se19 不整脈及び伝導障害,1,0,0,1,4,0,5,8,13,23,31,46,101,102,128,245,343,427,344,133,21,0
Se20 心不全,0,1,0,2,1,5,10,12,14,13,37,46,94,124,200,448,783,1167,1156,692,195,0
Se21 脳血管疾患,3,0,1,3,4,6,12,35,80,77,122,180,325,442,717,1111,1702,1854,1409,672,130,1
Se22 くも膜下出血,0,0,0,1,2,5,3,15,37,37,38,59,90,85,113,125,152,117,72,21,3,0
Se23 脳内出血,3,0,0,2,2,0,6,17,36,31,67,89,141,180,239,340,425,381,248,93,18,0
Se24 脳梗塞,0,0,0,0,0,0,1,1,7,6,14,26,84,165,339,629,1092,1319,1061,547,108,1
Se25 大動脈瘤及び解離,0,0,0,0,0,0,2,2,5,10,13,31,53,62,108,162,213,212,118,25,3,0
Se26 肺炎,8,1,0,2,1,5,4,7,11,15,23,54,143,231,426,955,1678,2174,1711,840,200,2
Se27 慢性閉塞性肺疾患,0,0,0,0,0,0,0,1,0,1,3,5,16,45,99,214,356,337,164,39,5,0
Se28 喘息,0,0,0,0,0,0,0,1,0,2,2,2,1,3,7,16,22,15,21,5,2,0
Se29 肝疾患,0,0,1,0,1,1,3,17,34,52,74,109,137,130,129,138,149,119,51,14,3,0
Se30 腎不全,0,0,0,0,0,0,1,4,1,6,7,18,50,62,102,238,326,457,309,149,26,0
Se31 老衰,0,0,0,0,0,0,0,0,0,0,0,0,0,2,18,95,390,920,1370,1221,475,0
Se32 不慮の事故,20,14,7,51,36,36,37,57,71,74,84,115,176,176,248,329,435,409,259,112,16,6
Se33 交通事故,3,5,2,27,16,18,15,32,27,31,19,32,45,32,55,51,52,38,12,2,0,0
Se34 自殺,0,0,7,50,112,124,129,181,178,177,204,175,220,192,179,140,104,66,21,7,0,9
