,0-04歳,05-09歳,10-14歳,15-19歳,20-24歳,25-29歳,30-34歳,35-39歳,40-44歳,45-49歳,50-54歳,55-59歳,60-64歳,65-69歳,70-74歳,75-79歳,80-84歳,85-89歳,90-94歳,95-99歳,100歳以上,不詳
総数,144,21,31,89,172,162,189,352,579,1137,1591,2245,3364,5962,10151,13427,17712,22798,20187,9716,2355,23
Se01 結核,0,0,0,0,0,0,0,0,1,1,1,2,0,6,6,16,32,44,40,18,3,0
Se02 悪性新生物＜腫瘍＞,2,4,9,8,19,18,33,91,175,393,620,932,1525,2857,4629,5065,5307,5026,3067,899,110,3
Se03 食道の悪性新生物＜腫瘍＞,0,0,0,0,1,0,0,0,2,10,16,35,76,120,191,191,162,85,52,10,0,0
Se04 胃の悪性新生物＜腫瘍＞,0,0,0,0,0,1,5,10,19,30,49,77,144,334,526,534,605,591,348,108,10,1
Se05 結腸の悪性新生物＜腫瘍＞,0,0,0,0,0,2,4,8,14,31,45,78,124,274,372,422,439,502,379,142,24,0
Se06 直腸Ｓ状結腸移行部及び直腸の悪性新生物＜腫瘍＞,0,0,0,0,0,0,0,9,12,20,47,45,84,158,226,184,202,172,89,20,3,0
Se07 肝及び肝内胆管の悪性新生物＜腫瘍＞,0,0,0,0,0,1,1,2,8,13,27,54,88,179,288,356,409,362,186,44,2,0
Se08 胆のう及びその他の胆道の悪性新生物＜腫瘍＞,0,0,0,0,0,0,1,1,1,8,11,30,54,89,187,260,284,299,191,75,5,1
Se09 膵の悪性新生物＜腫瘍＞,0,0,0,0,0,2,2,3,12,40,53,105,157,306,519,586,508,420,244,68,8,0
Se10 気管，気管支及び肺の悪性新生物＜腫瘍＞,0,0,0,0,0,0,1,4,16,41,65,128,278,584,1092,1115,1109,989,583,160,12,1
Se11 乳房の悪性新生物＜腫瘍＞,0,0,0,0,0,2,6,7,26,72,94,103,111,137,145,142,125,105,78,37,6,0
Se12 子宮の悪性新生物＜腫瘍＞,0,0,0,0,0,0,4,13,13,28,43,39,55,51,65,63,58,57,37,15,2,0
Se13 白血病,0,2,2,3,4,3,3,4,7,13,23,22,47,76,111,118,114,109,63,7,2,0
Se14 糖尿病,0,0,0,0,1,3,2,3,5,19,20,30,50,82,111,181,212,235,170,60,19,1
Se15 高血圧性疾患,0,0,0,0,0,0,1,3,0,3,4,6,23,35,61,80,111,148,179,140,39,0
Se16 心疾患（高血圧性を除く）,5,0,1,5,10,13,14,34,62,142,207,276,448,675,1229,1777,2483,3660,3696,1811,379,0
Se17 急性心筋梗塞,0,0,0,0,0,2,1,6,17,39,53,78,137,164,282,340,385,477,341,110,17,0
Se18 その他の虚血性心疾患,0,0,1,0,1,2,2,11,16,36,71,69,122,193,311,443,565,577,399,136,27,0
Se19 不整脈及び伝導障害,1,0,0,1,5,3,5,5,9,27,26,52,61,116,177,269,373,578,530,263,44,0
Se20 心不全,1,0,0,1,2,5,2,4,14,23,28,48,90,137,313,528,876,1577,1978,1084,264,0
Se21 脳血管疾患,0,1,1,0,6,2,10,36,45,110,159,205,252,404,720,965,1425,1855,1637,718,147,3
Se22 くも膜下出血,0,0,1,0,1,1,4,14,20,44,46,56,55,80,116,131,134,149,100,31,1,1
Se23 脳内出血,0,1,0,0,5,0,4,21,22,59,87,114,138,212,298,355,451,509,380,114,17,2
Se24 脳梗塞,0,0,0,0,0,0,0,1,3,6,16,29,48,101,285,453,803,1146,1116,552,125,0
Se25 大動脈瘤及び解離,0,0,0,0,0,0,1,2,14,25,26,30,46,89,176,226,298,360,260,68,10,1
Se26 肺炎,2,2,1,0,1,0,0,4,7,20,23,45,83,160,351,693,1130,1738,1612,725,168,0
Se27 慢性閉塞性肺疾患,0,0,0,0,0,0,0,0,1,2,7,8,10,42,111,205,253,341,235,74,12,0
Se28 喘息,0,0,0,0,1,0,0,0,1,2,1,1,7,3,5,12,17,23,36,6,0,0
Se29 肝疾患,0,0,0,0,0,1,3,15,32,66,83,114,95,151,183,188,189,163,77,23,2,0
Se30 腎不全,0,0,0,0,0,0,2,2,2,8,14,6,31,68,147,259,391,585,513,207,32,0
Se31 老衰,0,0,0,0,0,0,0,0,0,0,0,0,2,9,74,272,845,2236,3367,2731,973,0
Se32 不慮の事故,11,4,1,17,23,18,19,23,20,46,58,65,83,158,237,351,485,597,470,187,37,0
Se33 交通事故,3,2,1,8,14,8,4,8,12,14,21,10,14,22,27,34,43,23,12,2,0,0
Se34 自殺,0,0,7,44,92,73,61,76,102,103,124,123,123,100,114,107,79,45,28,5,0,3
