,0-04歳,05-09歳,10-14歳,15-19歳,20-24歳,25-29歳,30-34歳,35-39歳,40-44歳,45-49歳,50-54歳,55-59歳,60-64歳,65-69歳,70-74歳,75-79歳,80-84歳,85-89歳,90-94歳,95-99歳,100歳以上,不詳
総数,219,29,39,87,158,175,261,420,716,1210,1749,2575,4081,8564,10317,14625,21276,25901,21494,9822,2731,79
Se01 結核,0,0,0,0,0,0,0,0,0,0,2,0,3,3,12,19,29,48,40,17,3,0
Se02 悪性新生物＜腫瘍＞,7,5,12,7,15,21,49,96,205,414,601,1033,1778,3766,4336,5090,5929,5174,2918,834,114,2
Se03 食道の悪性新生物＜腫瘍＞,0,0,0,0,0,0,0,1,1,7,15,45,70,177,175,155,150,94,40,13,0,0
Se04 胃の悪性新生物＜腫瘍＞,0,0,0,0,0,1,4,7,18,35,64,86,172,414,492,628,701,644,380,101,9,0
Se05 結腸の悪性新生物＜腫瘍＞,0,0,1,0,0,2,6,10,15,43,48,91,165,336,384,435,529,511,378,132,22,0
Se06 直腸Ｓ状結腸移行部及び直腸の悪性新生物＜腫瘍＞,0,0,0,0,0,0,2,5,9,25,28,66,102,197,199,204,206,185,91,28,5,0
Se07 肝及び肝内胆管の悪性新生物＜腫瘍＞,0,0,0,0,0,0,0,4,5,9,34,55,126,248,311,413,521,376,164,35,7,0
Se08 胆のう及びその他の胆道の悪性新生物＜腫瘍＞,0,0,0,0,0,0,0,0,4,6,15,21,50,119,167,226,323,323,208,52,7,0
Se09 膵の悪性新生物＜腫瘍＞,0,0,0,0,0,0,3,5,12,33,54,115,168,389,437,502,557,444,222,66,6,0
Se10 気管，気管支及び肺の悪性新生物＜腫瘍＞,0,0,0,0,1,0,3,4,18,47,62,142,340,820,1015,1170,1208,1080,539,135,15,0
Se11 乳房の悪性新生物＜腫瘍＞,0,0,0,0,0,2,7,17,34,63,85,115,130,188,141,121,130,100,79,36,8,1
Se12 子宮の悪性新生物＜腫瘍＞,0,0,0,0,0,1,6,14,14,34,36,51,52,83,57,65,65,52,29,10,2,0
Se13 白血病,5,2,5,2,7,5,4,3,8,11,24,23,37,83,101,125,128,103,45,15,0,0
Se14 糖尿病,0,0,0,0,1,0,2,10,10,14,38,36,48,130,137,195,245,251,163,72,12,0
Se15 高血圧性疾患,0,0,0,0,0,0,2,0,5,5,8,9,17,60,58,99,162,260,222,129,35,0
Se16 心疾患（高血圧性を除く）,7,1,0,6,7,10,20,38,84,169,243,375,571,1209,1427,2257,3386,4667,4272,1862,505,4
Se17 急性心筋梗塞,1,0,0,1,0,1,0,9,24,31,84,106,168,316,344,495,645,731,496,169,26,1
Se18 その他の虚血性心疾患,0,0,0,0,1,0,6,8,13,58,57,113,147,340,390,567,694,783,556,168,46,2
Se19 不整脈及び伝導障害,0,0,0,2,5,2,5,9,15,27,38,54,102,189,221,339,565,697,610,244,56,0
Se20 心不全,1,0,0,2,1,1,6,7,19,39,40,72,106,237,330,611,1097,1888,2121,1059,336,0
Se21 脳血管疾患,0,0,2,0,0,4,13,19,58,109,162,180,292,588,724,1116,1846,2314,1767,780,171,1
Se22 くも膜下出血,0,0,0,0,0,2,7,8,28,49,55,44,92,112,126,147,184,163,93,28,5,0
Se23 脳内出血,0,0,2,0,0,1,5,9,23,52,92,110,138,262,287,385,623,627,366,132,27,1
Se24 脳梗塞,0,0,0,0,0,0,0,1,6,8,13,17,55,193,287,550,995,1478,1270,597,138,0
Se25 大動脈瘤及び解離,0,0,0,0,1,1,1,3,9,17,27,42,71,189,210,254,413,459,303,91,11,0
Se26 肺炎,2,0,1,0,0,0,3,4,6,7,21,30,84,235,398,813,1510,2320,2192,994,230,0
Se27 慢性閉塞性肺疾患,0,0,0,0,1,0,1,2,0,3,5,9,29,68,149,243,408,446,268,75,10,1
Se28 喘息,0,0,0,0,0,0,0,1,1,3,1,2,7,5,10,17,22,31,30,10,7,0
Se29 肝疾患,1,0,0,0,1,3,1,17,33,66,88,125,130,214,200,218,226,159,89,25,4,0
Se30 腎不全,2,0,1,0,0,1,0,6,4,8,6,12,32,100,137,270,431,589,528,222,31,0
Se31 老衰,0,0,0,0,0,0,0,0,0,0,0,0,2,21,71,205,853,2060,3291,2445,1105,0
Se32 不慮の事故,4,2,4,22,22,25,26,29,61,65,88,135,175,297,424,607,826,903,579,188,43,3
Se33 交通事故,0,1,2,14,15,11,12,11,20,23,29,34,30,48,60,57,62,49,8,4,0,0
Se34 自殺,0,0,9,38,75,66,87,112,107,123,146,147,105,122,95,69,65,51,18,4,1,3
