,0-04歳,05-09歳,10-14歳,15-19歳,20-24歳,25-29歳,30-34歳,35-39歳,40-44歳,45-49歳,50-54歳,55-59歳,60-64歳,65-69歳,70-74歳,75-79歳,80-84歳,85-89歳,90-94歳,95-99歳,100歳以上,不詳
総数,217,39,47,95,174,183,259,406,776,1073,1583,2429,4374,7050,9617,13138,19250,22084,17119,7977,2221,29
Se01 結核,0,0,0,0,0,0,0,0,0,0,0,2,3,5,12,17,24,57,41,11,1,0
Se02 悪性新生物＜腫瘍＞,3,8,10,9,10,21,54,94,198,339,604,1095,1995,3265,4040,4448,5091,4183,2151,606,96,3
Se03 食道の悪性新生物＜腫瘍＞,0,0,0,0,0,0,1,0,1,6,22,43,76,160,185,154,138,76,30,5,0,0
Se04 胃の悪性新生物＜腫瘍＞,0,0,0,0,0,1,9,12,23,34,54,136,229,440,518,562,653,556,292,72,10,0
Se05 結腸の悪性新生物＜腫瘍＞,0,0,0,0,0,2,4,10,15,21,51,104,153,266,316,400,468,439,281,90,14,0
Se06 直腸Ｓ状結腸移行部及び直腸の悪性新生物＜腫瘍＞,0,0,1,0,0,1,1,2,9,23,34,58,132,157,172,167,177,120,65,26,1,0
Se07 肝及び肝内胆管の悪性新生物＜腫瘍＞,0,0,0,0,0,0,0,5,10,8,38,65,116,248,329,405,474,352,142,26,4,0
Se08 胆のう及びその他の胆道の悪性新生物＜腫瘍＞,0,0,0,0,0,0,0,2,2,8,11,30,54,115,162,212,281,292,154,46,5,0
Se09 膵の悪性新生物＜腫瘍＞,0,0,0,0,0,0,1,3,16,19,44,84,215,324,396,420,434,334,157,31,5,0
Se10 気管，気管支及び肺の悪性新生物＜腫瘍＞,0,0,0,0,0,0,2,6,11,38,77,189,385,673,927,919,1041,814,364,106,17,1
Se11 乳房の悪性新生物＜腫瘍＞,0,0,0,0,0,1,7,17,33,67,78,116,133,149,130,107,90,87,53,22,2,0
Se12 子宮の悪性新生物＜腫瘍＞,0,0,0,0,0,1,3,8,18,36,44,34,61,56,58,48,57,47,27,8,3,0
Se13 白血病,1,2,1,4,5,2,3,3,13,9,25,24,51,71,96,118,123,82,37,7,0,0
Se14 糖尿病,0,0,0,0,0,1,0,3,14,15,19,24,73,101,126,169,235,228,141,44,8,0
Se15 高血圧性疾患,0,0,0,0,0,0,0,2,1,6,2,2,13,33,34,54,106,141,160,92,32,0
Se16 心疾患（高血圧性を除く）,6,1,4,6,6,13,14,40,85,162,207,320,560,969,1373,2062,3293,4157,3394,1588,401,4
Se17 急性心筋梗塞,0,0,1,0,0,0,2,9,19,41,66,96,163,258,371,515,753,741,433,153,24,1
Se18 その他の虚血性心疾患,1,0,0,1,0,2,5,10,22,42,49,86,158,256,368,493,682,711,440,152,38,0
Se19 不整脈及び伝導障害,1,0,0,3,1,5,6,7,13,38,32,52,82,163,218,346,498,675,528,229,43,0
Se20 心不全,0,0,0,0,4,1,0,9,13,22,30,55,99,208,282,514,1000,1560,1638,887,259,2
Se21 脳血管疾患,0,0,1,2,2,2,7,27,80,110,128,196,349,496,750,1153,1869,2186,1599,751,150,2
Se22 くも膜下出血,0,0,1,1,2,2,1,16,37,39,42,58,89,102,128,139,194,156,65,30,4,0
Se23 脳内出血,0,0,0,0,0,0,4,10,38,54,69,102,175,213,276,376,568,523,294,90,27,1
Se24 脳梗塞,0,0,0,0,0,0,1,0,3,11,14,30,77,164,327,596,1049,1452,1192,606,113,1
Se25 大動脈瘤及び解離,0,0,0,2,0,1,1,4,14,17,22,35,66,137,141,208,299,347,182,50,8,0
Se26 肺炎,4,4,1,1,1,4,5,10,12,22,35,66,153,321,542,1116,2116,2895,2447,1173,284,1
Se27 慢性閉塞性肺疾患,0,1,0,0,0,0,0,1,1,0,4,5,24,46,113,205,317,324,237,63,13,0
Se28 喘息,0,0,0,0,0,1,0,1,2,0,3,1,5,9,9,16,27,33,17,14,3,0
Se29 肝疾患,0,0,1,0,0,0,2,10,26,36,75,88,145,166,172,151,182,125,47,15,1,1
Se30 腎不全,0,0,0,0,1,2,0,0,5,7,7,17,58,73,142,251,411,520,440,182,42,0
Se31 老衰,0,0,0,0,0,0,0,0,0,0,0,0,1,9,40,168,595,1434,2325,1697,777,0
Se32 不慮の事故,13,4,0,17,36,23,33,36,62,64,77,102,173,245,330,506,640,652,391,162,32,0
Se33 交通事故,1,1,0,10,18,13,11,15,16,20,19,22,38,38,48,67,52,27,7,1,0,0
Se34 自殺,0,0,6,42,74,79,105,114,151,134,168,141,128,134,148,96,88,45,25,6,0,3
