,0-04歳,05-09歳,10-14歳,15-19歳,20-24歳,25-29歳,30-34歳,35-39歳,40-44歳,45-49歳,50-54歳,55-59歳,60-64歳,65-69歳,70-74歳,75-79歳,80-84歳,85-89歳,90-94歳,95-99歳,100歳以上,不詳
総数,191,30,31,103,174,169,267,388,724,1218,1593,2241,3445,6482,9627,13172,17757,22234,19588,9263,2373,49
Se01 結核,0,0,0,0,0,0,0,0,1,2,0,1,1,4,3,19,21,53,42,9,3,1
Se02 悪性新生物＜腫瘍＞,3,5,6,9,15,26,50,104,206,424,624,957,1650,3163,4365,5109,5550,5119,2962,866,108,1
Se03 食道の悪性新生物＜腫瘍＞,0,0,0,0,1,0,0,3,2,16,21,47,86,127,165,189,148,92,49,7,0,0
Se04 胃の悪性新生物＜腫瘍＞,0,0,0,0,0,2,4,12,19,42,53,102,175,336,487,570,625,620,343,103,9,0
Se05 結腸の悪性新生物＜腫瘍＞,0,0,0,0,0,3,4,9,19,32,43,94,143,264,355,455,538,515,367,125,13,0
Se06 直腸Ｓ状結腸移行部及び直腸の悪性新生物＜腫瘍＞,0,0,0,0,0,2,2,7,9,18,34,51,87,184,216,195,172,157,109,34,3,0
Se07 肝及び肝内胆管の悪性新生物＜腫瘍＞,1,0,0,0,0,2,0,2,6,12,27,56,105,226,297,395,435,413,174,46,4,1
Se08 胆のう及びその他の胆道の悪性新生物＜腫瘍＞,0,0,0,0,0,0,0,1,3,5,14,27,45,96,156,234,313,274,189,71,12,0
Se09 膵の悪性新生物＜腫瘍＞,0,0,0,0,0,0,1,5,13,35,57,95,161,320,498,522,520,444,227,71,8,0
Se10 気管，気管支及び肺の悪性新生物＜腫瘍＞,0,0,0,0,0,1,5,1,17,46,65,142,311,678,998,1164,1145,1049,537,139,17,0
Se11 乳房の悪性新生物＜腫瘍＞,0,0,0,0,0,1,9,21,34,65,112,97,103,157,147,126,134,108,86,30,6,0
Se12 子宮の悪性新生物＜腫瘍＞,0,0,0,0,0,2,8,8,18,47,39,39,47,60,63,67,69,53,37,9,1,0
Se13 白血病,1,2,2,1,3,1,3,4,8,15,15,29,42,66,111,109,145,112,55,11,3,0
Se14 糖尿病,0,0,0,0,1,0,1,1,9,15,22,30,56,79,134,159,199,218,167,59,6,0
Se15 高血圧性疾患,0,0,0,0,0,0,0,1,0,8,3,19,17,36,47,67,82,138,170,93,34,1
Se16 心疾患（高血圧性を除く）,7,2,1,2,5,11,19,37,76,137,191,271,410,726,1132,1621,2523,3507,3480,1735,376,9
Se17 急性心筋梗塞,0,0,0,0,0,0,1,13,17,24,49,67,90,175,263,322,424,438,345,137,8,0
Se18 その他の虚血性心疾患,0,0,0,0,1,0,2,6,12,38,57,68,141,191,288,371,476,497,399,120,26,5
Se19 不整脈及び伝導障害,2,0,0,2,2,7,6,7,24,27,33,52,66,97,164,244,385,519,525,246,41,3
Se20 心不全,2,0,0,0,2,0,2,3,13,25,32,52,75,162,286,497,953,1630,1783,1034,270,1
Se21 脳血管疾患,1,0,1,1,3,0,8,21,63,125,122,172,241,375,639,1055,1391,1933,1583,688,163,1
Se22 くも膜下出血,0,0,1,1,2,0,5,11,26,48,44,50,64,69,86,130,126,152,68,26,9,0
Se23 脳内出血,1,0,0,0,1,0,3,9,31,65,64,94,127,176,271,390,430,510,340,102,15,1
Se24 脳梗塞,0,0,0,0,0,0,0,0,5,9,10,27,42,117,268,503,797,1230,1131,542,134,0
Se25 大動脈瘤及び解離,0,0,0,0,0,0,1,3,8,22,25,33,44,92,127,179,266,314,201,69,16,0
Se26 肺炎,4,0,0,1,0,1,2,5,10,14,22,27,84,179,381,727,1327,2050,1983,898,230,2
Se27 慢性閉塞性肺疾患,0,0,0,0,0,0,1,0,0,1,2,11,14,66,123,228,312,389,262,68,8,0
Se28 喘息,0,0,0,0,0,0,1,1,2,1,0,1,2,4,5,14,16,22,27,15,4,0
Se29 肝疾患,1,0,0,0,0,5,3,14,29,63,77,115,111,149,175,212,187,157,73,21,3,1
Se30 腎不全,0,0,0,0,0,0,1,1,1,5,9,23,36,78,128,207,337,544,478,216,49,0
Se31 老衰,0,0,0,0,0,0,0,0,0,0,0,0,2,24,68,221,763,1849,3144,2311,942,0
Se32 不慮の事故,9,7,6,12,25,16,24,20,30,54,48,73,97,168,242,340,459,568,420,185,40,2
Se33 交通事故,3,4,1,7,18,8,7,8,8,20,14,19,26,26,20,53,42,22,2,1,0,0
Se34 自殺,0,0,7,55,89,75,111,127,150,147,185,123,131,137,176,116,89,52,28,3,1,7
