,0-04歳,05-09歳,10-14歳,15-19歳,20-24歳,25-29歳,30-34歳,35-39歳,40-44歳,45-49歳,50-54歳,55-59歳,60-64歳,65-69歳,70-74歳,75-79歳,80-84歳,85-89歳,90-94歳,95-99歳,100歳以上,不詳
総数,323,47,59,143,248,289,429,636,932,1256,1929,3004,5908,6852,9290,14037,18297,18412,13764,6752,1732,184
Se01 結核,0,0,0,0,0,0,0,0,1,2,3,3,6,9,17,19,36,49,18,10,0,0
Se02 悪性新生物＜腫瘍＞,6,3,12,12,13,30,56,130,237,389,700,1316,2844,3145,3866,5062,5068,3575,1784,596,90,1
Se03 食道の悪性新生物＜腫瘍＞,0,0,0,0,0,0,0,1,3,7,31,53,139,143,167,150,126,71,28,7,0,0
Se04 胃の悪性新生物＜腫瘍＞,0,0,0,0,1,4,7,17,32,50,79,177,415,415,506,694,689,571,294,106,8,0
Se05 結腸の悪性新生物＜腫瘍＞,0,0,0,0,0,1,7,14,13,32,51,85,215,244,263,390,434,371,231,59,15,0
Se06 直腸Ｓ状結腸移行部及び直腸の悪性新生物＜腫瘍＞,0,0,0,0,1,0,2,3,4,15,41,69,164,172,177,174,152,115,57,14,3,0
Se07 肝及び肝内胆管の悪性新生物＜腫瘍＞,1,0,0,0,0,1,2,4,4,17,54,102,243,315,414,625,471,271,118,38,3,1
Se08 胆のう及びその他の胆道の悪性新生物＜腫瘍＞,0,0,0,0,1,0,0,2,4,7,20,31,86,112,176,239,300,258,142,62,4,0
Se09 膵の悪性新生物＜腫瘍＞,0,0,0,0,0,1,1,3,9,29,55,128,266,298,343,436,375,244,113,40,6,0
Se10 気管，気管支及び肺の悪性新生物＜腫瘍＞,0,0,0,0,1,1,4,9,24,49,93,207,526,666,837,1076,1132,637,301,94,12,0
Se11 乳房の悪性新生物＜腫瘍＞,0,0,0,0,0,2,4,23,43,64,83,127,168,126,93,86,84,67,33,15,2,0
Se12 子宮の悪性新生物＜腫瘍＞,0,0,0,0,0,3,5,10,24,21,29,32,62,43,52,60,49,41,29,7,3,0
Se13 白血病,2,1,2,4,1,4,6,8,6,20,16,28,60,73,98,114,124,56,23,8,1,0
Se14 糖尿病,0,0,1,0,0,0,1,5,9,12,24,49,88,104,166,179,257,202,132,58,9,0
Se15 高血圧性疾患,0,0,0,0,0,1,0,2,2,3,0,3,18,21,28,54,87,106,122,81,27,0
Se16 心疾患（高血圧性を除く）,11,2,1,1,11,21,37,48,100,154,245,329,671,825,1198,2014,2920,3490,2844,1416,339,3
Se17 急性心筋梗塞,0,0,0,0,2,2,6,8,41,48,90,102,202,255,343,545,678,691,449,157,23,0
Se18 その他の虚血性心疾患,0,0,0,0,1,2,7,11,21,33,61,82,178,202,288,414,546,489,351,159,27,0
Se19 不整脈及び伝導障害,0,0,0,1,2,5,6,15,15,34,45,47,100,117,168,297,420,512,351,162,33,1
Se20 心不全,4,0,1,0,3,7,12,6,15,23,32,64,126,162,275,550,997,1394,1403,790,235,2
Se21 脳血管疾患,2,1,2,1,3,3,13,31,83,119,160,244,464,575,856,1417,2101,2194,1696,756,164,5
Se22 くも膜下出血,1,1,1,0,2,1,7,19,34,48,59,67,128,102,121,176,187,156,70,15,3,0
Se23 脳内出血,1,0,1,1,0,2,3,11,39,53,89,126,225,231,292,446,547,477,274,99,15,5
Se24 脳梗塞,0,0,0,0,0,0,3,1,8,11,7,46,98,228,421,750,1311,1519,1309,623,143,0
Se25 大動脈瘤及び解離,0,0,2,0,0,0,2,5,6,7,23,30,74,84,127,186,269,257,137,41,3,0
Se26 肺炎,7,1,1,1,5,4,7,8,13,31,36,74,156,271,532,1195,2145,2554,2153,1122,263,2
Se27 慢性閉塞性肺疾患,0,0,0,0,0,1,0,2,1,0,2,8,28,42,104,245,350,350,196,68,12,0
Se28 喘息,0,1,0,0,0,0,1,3,1,5,3,3,8,8,7,8,20,44,23,19,6,0
Se29 肝疾患,3,0,0,0,1,0,7,13,22,54,93,98,204,183,174,198,176,135,69,16,2,0
Se30 腎不全,2,2,0,1,0,0,1,2,5,1,17,29,64,91,148,276,389,550,402,163,35,0
Se31 老衰,0,0,0,0,0,0,0,0,0,0,0,0,1,7,22,90,378,851,1278,1093,475,0
Se32 不慮の事故,55,13,17,58,59,62,73,90,104,110,153,179,300,340,427,542,696,535,344,135,17,154
Se33 交通事故,4,4,8,32,19,16,16,19,26,17,32,33,54,38,64,60,57,28,9,1,0,0
Se34 自殺,0,0,6,48,125,114,156,183,197,198,240,245,262,196,169,139,95,60,24,5,1,8
