,0-04歳,05-09歳,10-14歳,15-19歳,20-24歳,25-29歳,30-34歳,35-39歳,40-44歳,45-49歳,50-54歳,55-59歳,60-64歳,65-69歳,70-74歳,75-79歳,80-84歳,85-89歳,90-94歳,95-99歳,100歳以上,不詳
総数,159,29,41,93,175,198,237,370,579,1111,1779,2297,3173,5538,10864,12198,17315,22295,19879,10217,2694,50
Se01 結核,0,0,0,0,0,0,0,0,1,0,1,1,2,4,8,12,29,33,38,11,2,0
Se02 悪性新生物＜腫瘍＞,3,8,9,7,17,13,39,79,176,333,654,972,1484,2703,5078,4928,5647,5362,3269,1017,139,1
Se03 食道の悪性新生物＜腫瘍＞,0,0,0,0,0,0,0,1,0,12,17,31,76,101,203,179,145,120,44,6,2,0
Se04 胃の悪性新生物＜腫瘍＞,0,0,0,0,1,3,5,8,12,31,52,80,146,304,563,479,635,602,352,118,9,0
Se05 結腸の悪性新生物＜腫瘍＞,0,0,0,0,0,0,4,6,15,34,60,88,132,223,406,422,527,544,400,170,22,0
Se06 直腸Ｓ状結腸移行部及び直腸の悪性新生物＜腫瘍＞,0,0,0,0,0,0,3,2,9,21,38,46,93,160,269,214,221,155,95,26,4,0
Se07 肝及び肝内胆管の悪性新生物＜腫瘍＞,0,0,0,0,0,0,0,0,6,9,28,58,80,169,309,266,396,389,209,62,9,0
Se08 胆のう及びその他の胆道の悪性新生物＜腫瘍＞,0,0,0,0,0,0,0,1,1,9,7,28,40,101,204,238,291,299,230,71,10,0
Se09 膵の悪性新生物＜腫瘍＞,0,0,0,0,0,1,1,4,14,19,65,118,163,288,557,585,541,502,271,78,15,0
Se10 気管，気管支及び肺の悪性新生物＜腫瘍＞,0,0,0,0,0,0,2,8,11,33,81,146,256,568,1174,1136,1253,1051,583,162,21,0
Se11 乳房の悪性新生物＜腫瘍＞,0,0,0,0,0,2,5,9,34,45,96,98,122,119,169,127,119,127,88,44,8,0
Se12 子宮の悪性新生物＜腫瘍＞,0,0,0,0,0,0,2,8,25,30,48,49,48,61,73,72,68,54,39,9,1,0
Se13 白血病,1,0,5,1,8,4,1,3,6,13,19,20,29,59,112,142,127,112,59,14,0,0
Se14 糖尿病,0,0,0,0,0,2,0,0,8,12,17,33,38,73,139,153,182,221,143,62,19,1
Se15 高血圧性疾患,0,0,0,0,0,0,1,0,3,6,6,14,22,32,72,61,96,146,178,100,44,0
Se16 心疾患（高血圧性を除く）,6,1,2,4,3,10,12,31,65,135,216,303,386,655,1207,1458,2276,3378,3332,1837,416,3
Se17 急性心筋梗塞,0,0,0,0,0,0,2,10,17,30,68,79,109,141,266,264,333,405,320,122,26,1
Se18 その他の虚血性心疾患,0,0,0,0,0,4,3,2,14,36,54,90,112,201,339,326,463,480,337,160,25,2
Se19 不整脈及び伝導障害,0,0,2,1,0,2,4,3,19,34,33,48,58,105,198,213,356,520,483,228,47,0
Se20 心不全,2,0,0,1,2,2,2,13,7,23,35,56,70,158,283,465,856,1547,1803,1127,276,0
Se21 脳血管疾患,1,2,2,0,1,5,7,30,39,103,130,147,195,311,689,836,1280,1787,1507,698,146,2
Se22 くも膜下出血,0,0,1,0,1,2,5,20,24,42,42,46,50,60,80,103,96,129,87,27,3,0
Se23 脳内出血,1,1,1,0,0,2,1,10,10,51,72,78,107,138,279,271,381,419,319,112,25,1
Se24 脳梗塞,0,1,0,0,0,1,1,0,3,5,12,19,32,102,308,438,765,1197,1068,537,114,1
Se25 大動脈瘤及び解離,0,0,0,0,0,1,1,1,3,14,14,29,38,62,142,132,224,262,186,70,8,1
Se26 肺炎,1,0,1,0,0,0,0,2,5,7,16,23,42,126,317,488,875,1376,1260,620,141,0
Se27 慢性閉塞性肺疾患,0,0,0,0,0,0,0,0,0,2,2,4,13,41,122,196,309,319,213,76,6,0
Se28 喘息,0,0,0,0,0,0,0,0,0,1,2,1,1,0,4,8,8,14,8,7,3,0
Se29 肝疾患,2,0,0,1,2,1,2,15,34,56,111,114,109,130,199,155,168,175,86,37,3,0
Se30 腎不全,2,0,0,0,0,0,0,2,3,10,18,17,34,68,147,198,367,534,486,231,35,0
Se31 老衰,0,0,0,0,0,0,0,0,0,0,0,0,5,9,98,264,941,2355,3745,3031,1195,0
Se32 不慮の事故,10,8,4,21,20,23,20,26,25,51,80,67,90,128,246,285,417,532,446,177,42,2
Se33 交通事故,3,3,1,8,10,12,7,9,1,15,20,16,20,16,33,38,36,33,13,0,0,0
Se34 自殺,0,1,12,47,101,108,107,115,115,140,156,132,96,97,146,102,82,68,27,8,2,2
