,0-04歳,05-09歳,10-14歳,15-19歳,20-24歳,25-29歳,30-34歳,35-39歳,40-44歳,45-49歳,50-54歳,55-59歳,60-64歳,65-69歳,70-74歳,75-79歳,80-84歳,85-89歳,90-94歳,95-99歳,100歳以上,不詳
総数,155,21,30,103,152,187,244,377,606,1067,1749,2325,3273,5346,11097,12961,18917,24649,22415,11890,3092,37
Se01 結核,0,0,0,0,0,0,0,0,0,1,1,1,0,7,6,11,28,35,31,14,1,0
Se02 悪性新生物＜腫瘍＞,11,5,4,17,7,25,54,84,168,344,608,941,1417,2409,4786,4816,5476,5292,3088,1015,138,2
Se03 食道の悪性新生物＜腫瘍＞,0,0,0,0,0,0,0,0,4,12,22,34,55,91,150,134,153,108,40,8,2,0
Se04 胃の悪性新生物＜腫瘍＞,0,0,0,0,0,2,4,9,16,21,46,80,107,233,511,539,557,624,358,140,10,1
Se05 結腸の悪性新生物＜腫瘍＞,0,0,0,0,0,3,6,6,16,27,53,79,147,227,451,393,514,522,371,130,18,0
Se06 直腸Ｓ状結腸移行部及び直腸の悪性新生物＜腫瘍＞,0,0,0,0,0,0,2,9,4,21,39,50,75,118,219,185,177,155,100,25,8,0
Se07 肝及び肝内胆管の悪性新生物＜腫瘍＞,0,0,0,1,0,0,0,1,11,10,16,33,90,143,255,320,370,366,181,56,10,0
Se08 胆のう及びその他の胆道の悪性新生物＜腫瘍＞,0,0,0,0,0,1,0,0,1,4,9,23,31,86,188,229,302,300,220,60,12,0
Se09 膵の悪性新生物＜腫瘍＞,0,0,0,0,0,0,0,5,11,23,64,116,164,266,576,569,622,517,244,91,12,0
Se10 気管，気管支及び肺の悪性新生物＜腫瘍＞,0,0,0,0,0,0,1,4,14,43,69,138,270,516,1109,1129,1145,1010,547,165,26,0
Se11 乳房の悪性新生物＜腫瘍＞,0,0,0,0,0,0,8,11,25,44,86,96,117,135,185,144,140,120,89,26,7,0
Se12 子宮の悪性新生物＜腫瘍＞,0,0,0,0,0,0,2,10,16,29,51,68,41,52,69,52,54,69,29,13,2,0
Se13 白血病,6,1,0,6,1,4,8,3,7,13,15,23,38,54,137,132,139,115,47,14,2,0
Se14 糖尿病,0,0,0,1,1,0,3,1,9,10,28,38,42,83,145,148,220,246,159,71,13,0
Se15 高血圧性疾患,0,0,0,0,0,0,0,0,0,5,12,16,15,29,51,62,123,171,228,130,40,0
Se16 心疾患（高血圧性を除く）,2,2,1,4,5,6,21,35,66,133,219,297,422,597,1322,1633,2580,3911,4144,2239,506,5
Se17 急性心筋梗塞,0,0,0,0,0,0,5,5,11,28,60,70,99,119,276,309,430,519,368,167,22,1
Se18 その他の虚血性心疾患,0,0,0,0,1,0,1,7,15,32,62,99,125,173,346,389,497,580,455,175,41,1
Se19 不整脈及び伝導障害,1,1,0,3,0,1,6,11,16,25,40,39,62,105,228,259,392,595,620,295,55,1
Se20 心不全,1,0,1,0,3,3,2,5,16,30,37,60,89,139,338,503,981,1744,2221,1337,346,1
Se21 脳血管疾患,1,1,0,1,0,3,5,17,45,86,181,184,205,351,747,980,1388,1843,1638,779,148,1
Se22 くも膜下出血,1,1,0,0,0,2,2,4,17,29,61,53,51,57,112,122,142,137,76,27,7,0
Se23 脳内出血,0,0,0,1,0,1,3,10,25,49,105,103,110,177,315,356,434,492,367,143,23,1
Se24 脳梗塞,0,0,0,0,0,0,0,3,2,5,12,27,36,101,292,466,776,1167,1144,588,116,0
Se25 大動脈瘤及び解離,0,0,0,0,0,0,0,3,9,8,30,44,59,104,167,220,253,357,251,80,17,0
Se26 肺炎,1,0,0,0,0,0,1,2,4,5,19,26,58,107,373,532,1020,1452,1436,694,162,0
Se27 慢性閉塞性肺疾患,0,0,0,0,0,0,0,0,0,2,3,8,18,43,136,184,274,308,214,81,10,0
Se28 喘息,0,0,0,0,0,0,0,0,0,2,1,1,2,1,5,9,8,22,12,12,3,0
Se29 肝疾患,1,0,0,0,2,0,2,11,27,70,91,132,127,154,211,184,200,197,105,32,4,0
Se30 腎不全,0,0,0,0,0,0,0,2,0,5,8,19,39,57,165,242,424,611,590,256,44,0
Se31 老衰,0,0,0,0,0,0,0,0,0,0,0,0,1,21,105,336,1065,2664,4234,3469,1389,0
Se32 不慮の事故,18,3,2,14,15,22,28,26,31,48,72,71,87,153,284,344,573,667,533,225,55,3
Se33 交通事故,2,0,2,7,7,8,6,5,7,13,20,12,17,16,25,38,36,32,19,3,0,0
Se34 自殺,0,0,9,54,92,90,84,116,125,166,188,142,127,102,120,103,95,59,37,7,0,1
