,0-04歳,05-09歳,10-14歳,15-19歳,20-24歳,25-29歳,30-34歳,35-39歳,40-44歳,45-49歳,50-54歳,55-59歳,60-64歳,65-69歳,70-74歳,75-79歳,80-84歳,85-89歳,90-94歳,95-99歳,100歳以上,不詳
総数,161,20,48,149,225,200,250,377,667,1165,1750,2393,3459,6045,10554,13263,17543,21756,18953,9227,2351,90
Se01 結核,0,0,0,0,0,0,0,0,0,1,0,2,1,3,6,13,22,41,29,11,1,0
Se02 悪性新生物＜腫瘍＞,1,7,8,12,12,22,39,84,148,357,597,986,1527,2872,4830,5251,5670,5331,3083,934,132,4
Se03 食道の悪性新生物＜腫瘍＞,0,0,0,0,0,0,0,1,1,8,16,44,73,120,149,172,161,116,49,9,0,0
Se04 胃の悪性新生物＜腫瘍＞,0,0,0,0,0,0,7,10,16,27,49,69,154,300,532,542,665,592,341,153,11,0
Se05 結腸の悪性新生物＜腫瘍＞,0,0,0,0,1,3,2,5,14,35,55,84,115,244,431,476,529,550,403,129,18,0
Se06 直腸Ｓ状結腸移行部及び直腸の悪性新生物＜腫瘍＞,0,0,0,0,0,1,2,2,9,23,40,57,83,157,251,202,223,143,91,31,8,0
Se07 肝及び肝内胆管の悪性新生物＜腫瘍＞,0,0,1,0,0,1,0,3,6,13,23,52,103,168,326,344,393,365,205,54,6,0
Se08 胆のう及びその他の胆道の悪性新生物＜腫瘍＞,0,0,0,0,1,0,1,2,2,8,9,22,39,97,166,216,316,301,174,58,8,0
Se09 膵の悪性新生物＜腫瘍＞,0,0,0,0,0,1,1,1,10,32,48,105,162,329,549,611,602,488,270,57,17,0
Se10 気管，気管支及び肺の悪性新生物＜腫瘍＞,0,0,0,0,0,1,1,7,10,28,78,145,285,577,1144,1257,1159,1071,554,147,18,1
Se11 乳房の悪性新生物＜腫瘍＞,0,0,0,0,0,1,3,12,33,60,87,121,109,152,171,129,119,128,86,37,7,0
Se12 子宮の悪性新生物＜腫瘍＞,0,0,0,0,0,0,4,11,10,44,43,54,36,60,83,61,73,67,35,11,1,0
Se13 白血病,1,0,2,0,3,2,4,4,6,2,19,24,37,69,139,149,128,116,53,9,1,0
Se14 糖尿病,0,0,0,0,2,0,2,2,7,14,31,27,53,63,151,148,190,212,156,48,9,0
Se15 高血圧性疾患,0,0,0,0,0,0,0,2,4,10,9,14,31,41,61,65,105,166,157,102,30,0
Se16 心疾患（高血圧性を除く）,1,1,1,5,7,10,16,25,71,148,229,329,422,736,1232,1637,2344,3322,3186,1642,356,9
Se17 急性心筋梗塞,0,0,0,0,2,2,2,5,15,41,65,83,104,186,252,309,426,426,312,114,18,0
Se18 その他の虚血性心疾患,0,0,0,0,0,1,3,5,17,45,75,87,135,214,346,397,552,557,360,151,32,6
Se19 不整脈及び伝導障害,0,1,0,3,1,3,4,7,22,25,36,54,56,125,182,235,318,484,489,238,39,0
Se20 心不全,0,0,0,0,3,1,2,3,11,26,28,71,91,145,307,530,797,1442,1619,958,242,2
Se21 脳血管疾患,0,1,2,2,0,6,8,16,52,76,140,173,212,346,660,902,1291,1732,1463,656,123,1
Se22 くも膜下出血,0,1,0,2,0,2,5,4,21,28,50,41,59,66,98,103,102,146,74,18,1,0
Se23 脳内出血,0,0,2,0,0,1,3,8,29,44,74,96,92,160,267,322,434,450,303,95,14,1
Se24 脳梗塞,0,0,0,0,0,2,0,3,2,2,14,28,53,109,274,459,728,1098,1058,526,102,0
Se25 大動脈瘤及び解離,0,0,0,0,0,0,1,5,5,14,26,20,42,63,135,139,205,279,206,65,5,0
Se26 肺炎,1,0,0,2,2,3,3,3,8,9,18,28,54,143,300,572,945,1397,1364,638,136,0
Se27 慢性閉塞性肺疾患,0,0,0,0,0,0,0,0,1,1,3,7,10,46,133,208,271,288,207,60,8,0
Se28 喘息,0,0,0,0,0,0,0,1,1,2,1,3,1,2,5,6,7,24,12,12,3,0
Se29 肝疾患,0,0,0,0,0,1,1,16,40,71,101,116,130,149,185,180,195,131,89,18,4,1
Se30 腎不全,0,0,0,1,0,0,1,0,4,5,12,20,35,65,149,215,357,532,462,174,34,0
Se31 老衰,0,0,0,0,0,0,0,0,0,0,0,0,0,15,72,288,867,2077,3354,2652,1047,0
Se32 不慮の事故,8,2,12,33,40,22,32,27,39,74,87,99,123,225,363,444,571,619,490,190,39,2
Se33 交通事故,2,0,3,8,13,4,10,9,8,15,14,13,17,25,25,32,29,25,8,1,1,0
Se34 自殺,0,0,15,73,132,106,102,127,150,151,146,143,119,95,127,120,101,71,25,6,2,8
