,0-04歳,05-09歳,10-14歳,15-19歳,20-24歳,25-29歳,30-34歳,35-39歳,40-44歳,45-49歳,50-54歳,55-59歳,60-64歳,65-69歳,70-74歳,75-79歳,80-84歳,85-89歳,90-94歳,95-99歳,100歳以上,不詳
総数,286,37,44,131,217,279,369,582,933,1108,1667,2913,5911,6591,9262,13777,18163,18624,13608,6651,1667,156
Se01 結核,0,0,0,0,0,0,0,0,0,1,1,1,8,4,18,25,49,40,30,6,1,0
Se02 悪性新生物＜腫瘍＞,10,5,8,12,21,26,60,130,242,374,590,1339,2839,3223,4052,4992,5188,3951,1958,582,80,0
Se03 食道の悪性新生物＜腫瘍＞,0,0,0,0,0,0,0,1,3,6,26,74,144,170,164,150,125,73,27,7,1,0
Se04 胃の悪性新生物＜腫瘍＞,0,0,0,0,1,1,10,25,28,41,70,156,331,411,562,685,694,618,315,79,5,0
Se05 結腸の悪性新生物＜腫瘍＞,0,0,0,0,3,0,3,11,20,34,43,102,238,271,308,404,446,445,253,86,10,0
Se06 直腸Ｓ状結腸移行部及び直腸の悪性新生物＜腫瘍＞,0,0,0,0,0,0,1,3,6,20,24,79,139,172,209,172,177,128,66,27,5,0
Se07 肝及び肝内胆管の悪性新生物＜腫瘍＞,0,0,0,0,0,1,3,8,6,21,40,115,252,284,419,570,512,293,108,31,5,0
Se08 胆のう及びその他の胆道の悪性新生物＜腫瘍＞,0,0,0,0,0,0,0,4,4,14,17,43,90,110,173,272,303,288,143,47,12,0
Se09 膵の悪性新生物＜腫瘍＞,0,0,0,0,0,1,3,5,10,24,53,106,265,297,373,441,404,282,130,39,3,0
Se10 気管，気管支及び肺の悪性新生物＜腫瘍＞,0,0,0,0,1,2,5,9,22,39,81,228,553,710,873,1070,1130,722,331,72,8,0
Se11 乳房の悪性新生物＜腫瘍＞,0,0,0,0,0,1,3,13,43,61,73,122,164,110,85,98,101,61,52,25,6,0
Se12 子宮の悪性新生物＜腫瘍＞,0,0,0,0,0,2,7,18,17,28,24,39,59,38,43,50,62,52,19,10,2,0
Se13 白血病,3,1,4,5,6,7,6,9,9,12,26,29,69,63,84,118,96,65,23,6,0,0
Se14 糖尿病,0,0,0,1,1,1,2,3,12,20,21,37,82,100,128,216,196,175,146,37,10,0
Se15 高血圧性疾患,0,0,0,0,0,0,2,1,2,3,2,12,14,21,32,49,88,111,129,78,20,0
Se16 心疾患（高血圧性を除く）,11,2,3,4,14,12,26,49,111,135,205,330,686,815,1089,1877,2850,3314,2599,1390,307,0
Se17 急性心筋梗塞,0,0,0,0,1,1,7,13,39,52,72,104,234,251,313,511,688,680,432,141,19,0
Se18 その他の虚血性心疾患,1,0,0,1,5,2,2,11,24,24,46,81,175,195,258,382,515,523,343,134,41,0
Se19 不整脈及び伝導障害,1,2,1,1,4,2,9,9,19,20,36,51,96,121,158,273,433,454,313,166,39,0
Se20 心不全,1,0,1,1,1,3,5,9,15,25,28,59,116,158,242,505,937,1307,1261,829,188,0
Se21 脳血管疾患,2,0,2,1,2,6,14,28,71,89,160,240,452,486,784,1292,1944,2141,1575,680,142,3
Se22 くも膜下出血,1,0,1,1,2,4,9,11,32,35,58,65,111,87,117,144,162,155,74,16,2,0
Se23 脳内出血,1,0,1,0,0,2,4,15,30,47,85,134,211,222,312,411,532,493,243,95,14,2
Se24 脳梗塞,0,0,0,0,0,0,0,1,6,7,12,35,119,164,334,706,1200,1437,1213,555,120,1
Se25 大動脈瘤及び解離,0,0,0,0,1,1,2,6,12,10,25,39,88,99,143,200,313,268,160,53,8,0
Se26 肺炎,5,2,1,2,1,4,8,4,13,12,32,53,167,261,568,1147,2050,2576,2061,1050,244,0
Se27 慢性閉塞性肺疾患,0,0,1,0,0,0,0,0,1,1,1,4,23,49,99,224,347,316,187,69,10,0
Se28 喘息,0,0,0,0,0,0,0,0,3,3,0,6,8,6,13,21,40,30,30,16,4,0
Se29 肝疾患,0,0,0,0,0,0,7,22,37,37,79,104,169,172,162,172,160,116,42,19,1,1
Se30 腎不全,1,0,0,0,0,0,2,3,2,5,8,25,55,68,137,239,394,493,371,172,39,0
Se31 老衰,0,0,0,0,0,0,0,0,0,0,0,0,4,5,23,100,394,920,1453,1205,487,0
Se32 不慮の事故,47,10,10,36,45,49,64,83,103,95,134,195,342,317,443,674,764,603,350,152,29,103
Se33 交通事故,8,0,4,16,27,21,23,23,28,22,26,39,59,46,54,94,74,40,9,5,0,0
Se34 自殺,0,0,8,48,108,129,124,167,201,167,180,158,240,139,143,128,89,64,35,6,0,12
