,0-04歳,05-09歳,10-14歳,15-19歳,20-24歳,25-29歳,30-34歳,35-39歳,40-44歳,45-49歳,50-54歳,55-59歳,60-64歳,65-69歳,70-74歳,75-79歳,80-84歳,85-89歳,90-94歳,95-99歳,100歳以上,不詳
総数,232,29,45,109,187,207,315,448,763,1119,1499,2288,4392,7130,9458,12632,17911,20690,16022,7338,1981,31
Se01 結核,0,0,0,0,0,0,1,1,0,2,0,4,4,6,8,19,29,47,24,8,1,0
Se02 悪性新生物＜腫瘍＞,7,5,11,16,21,26,48,105,242,346,578,1068,2134,3518,4262,4710,5326,4543,2293,661,81,2
Se03 食道の悪性新生物＜腫瘍＞,0,0,0,0,0,0,0,3,7,7,30,49,102,152,171,155,158,84,46,8,2,0
Se04 胃の悪性新生物＜腫瘍＞,0,0,0,1,0,4,5,11,30,39,59,97,249,423,529,586,683,576,300,88,6,0
Se05 結腸の悪性新生物＜腫瘍＞,0,0,0,1,0,1,1,8,21,27,50,93,198,276,335,424,475,457,308,88,18,0
Se06 直腸Ｓ状結腸移行部及び直腸の悪性新生物＜腫瘍＞,0,0,0,0,0,1,2,2,16,15,21,65,142,182,187,171,195,155,72,18,6,0
Se07 肝及び肝内胆管の悪性新生物＜腫瘍＞,1,1,0,0,0,1,0,1,8,14,39,68,163,257,379,379,485,371,145,37,2,0
Se08 胆のう及びその他の胆道の悪性新生物＜腫瘍＞,0,0,0,0,0,0,0,1,2,4,13,34,64,125,178,253,281,287,166,58,11,0
Se09 膵の悪性新生物＜腫瘍＞,0,0,0,0,0,0,0,4,7,27,38,101,183,378,410,464,424,385,168,44,5,0
Se10 気管，気管支及び肺の悪性新生物＜腫瘍＞,0,0,0,0,0,0,0,6,33,40,77,186,402,790,1015,1009,1153,898,374,110,6,1
Se11 乳房の悪性新生物＜腫瘍＞,0,0,0,0,0,1,9,16,33,54,95,104,134,139,139,119,97,103,59,11,1,0
Se12 子宮の悪性新生物＜腫瘍＞,0,0,0,0,0,4,8,9,23,26,32,42,47,59,49,57,74,41,27,11,1,0
Se13 白血病,3,1,5,3,9,4,4,5,6,15,13,29,52,89,105,134,125,77,40,9,2,0
Se14 糖尿病,0,0,0,0,0,0,2,3,4,15,14,45,56,92,110,155,214,208,141,57,2,0
Se15 高血圧性疾患,0,0,0,0,0,0,1,0,3,0,2,6,9,21,23,49,50,121,126,66,27,0
Se16 心疾患（高血圧性を除く）,12,5,1,4,9,21,22,49,93,141,206,253,508,811,1157,1716,2680,3433,3057,1440,365,2
Se17 急性心筋梗塞,0,0,0,0,0,5,3,6,30,41,66,77,145,240,319,400,555,567,434,146,26,0
Se18 その他の虚血性心疾患,1,0,0,0,1,4,4,14,22,35,57,63,155,201,275,412,466,498,358,145,34,1
Se19 不整脈及び伝導障害,2,1,1,0,1,4,4,16,15,33,34,44,83,132,190,263,442,499,409,204,37,0
Se20 心不全,1,0,0,1,4,1,6,8,9,20,28,40,76,148,256,471,886,1483,1499,799,231,1
Se21 脳血管疾患,1,1,2,4,2,4,8,22,56,94,140,169,316,495,746,1080,1647,2034,1583,679,173,2
Se22 くも膜下出血,0,0,0,2,1,2,3,9,21,41,56,50,67,91,111,134,142,147,76,21,0,0
Se23 脳内出血,1,1,1,1,1,1,4,10,29,41,72,95,176,224,278,334,489,491,295,82,21,1
Se24 脳梗塞,0,0,0,1,0,1,1,2,6,10,10,18,67,164,342,588,977,1352,1175,557,145,1
Se25 大動脈瘤及び解離,0,0,0,0,1,0,0,4,9,14,22,21,60,111,134,193,268,291,162,53,7,0
Se26 肺炎,7,3,2,1,1,0,10,4,12,13,23,46,132,265,528,981,1864,2582,2187,945,231,1
Se27 慢性閉塞性肺疾患,1,0,0,0,0,0,0,0,4,4,6,6,21,59,112,192,281,334,186,43,6,0
Se28 喘息,0,0,0,0,0,1,0,0,0,1,0,0,1,6,10,12,26,33,22,14,2,0
Se29 肝疾患,1,0,1,0,0,0,3,13,31,54,68,97,126,168,157,184,196,116,73,11,0,1
Se30 腎不全,0,0,0,0,0,0,0,0,1,5,13,18,27,83,145,235,384,510,427,195,26,0
Se31 老衰,0,0,0,0,0,0,0,0,0,0,0,0,1,9,42,144,590,1396,2125,1586,691,0
Se32 不慮の事故,17,6,4,20,23,26,26,27,50,64,56,95,152,207,266,399,548,550,338,107,27,8
Se33 交通事故,4,3,1,14,17,15,15,11,17,27,19,27,37,48,48,50,46,31,10,1,0,1
Se34 自殺,0,0,13,47,100,89,136,139,163,209,173,148,166,166,164,126,87,52,28,8,2,4
