,0-04歳,05-09歳,10-14歳,15-19歳,20-24歳,25-29歳,30-34歳,35-39歳,40-44歳,45-49歳,50-54歳,55-59歳,60-64歳,65-69歳,70-74歳,75-79歳,80-84歳,85-89歳,90-94歳,95-99歳,100歳以上,不詳
総数,300,36,39,117,205,290,362,532,876,1108,1676,2674,5614,6470,9066,13597,17900,18770,13922,7071,1711,40
Se01 結核,0,0,0,0,0,0,1,1,1,0,3,3,9,3,16,20,36,52,24,13,2,0
Se02 悪性新生物＜腫瘍＞,8,5,9,15,10,25,53,130,269,374,649,1231,2740,3019,3895,4979,4990,3846,1877,613,88,3
Se03 食道の悪性新生物＜腫瘍＞,0,0,0,0,0,0,0,1,2,6,23,49,149,147,160,159,108,71,38,7,0,1
Se04 胃の悪性新生物＜腫瘍＞,0,0,0,0,0,2,7,16,44,49,71,178,371,406,584,661,653,539,288,89,15,0
Se05 結腸の悪性新生物＜腫瘍＞,0,0,0,0,0,0,3,9,15,28,52,109,194,219,313,436,474,392,243,102,11,0
Se06 直腸Ｓ状結腸移行部及び直腸の悪性新生物＜腫瘍＞,0,0,0,0,1,1,2,3,11,22,30,74,146,157,182,204,162,151,56,18,1,1
Se07 肝及び肝内胆管の悪性新生物＜腫瘍＞,1,0,0,1,0,1,3,8,10,21,36,91,244,286,363,551,490,304,99,33,4,0
Se08 胆のう及びその他の胆道の悪性新生物＜腫瘍＞,0,0,0,0,0,0,0,1,7,11,10,36,105,103,178,248,316,269,149,46,10,0
Se09 膵の悪性新生物＜腫瘍＞,0,0,0,0,0,1,1,3,10,25,50,128,279,306,360,439,359,324,126,40,4,0
Se10 気管，気管支及び肺の悪性新生物＜腫瘍＞,0,0,0,0,0,0,5,9,31,51,107,197,491,642,795,1035,1058,724,306,96,16,1
Se11 乳房の悪性新生物＜腫瘍＞,0,0,0,0,0,0,10,16,41,46,78,113,143,118,118,91,82,70,38,20,5,0
Se12 子宮の悪性新生物＜腫瘍＞,0,0,0,0,0,2,4,11,22,25,38,38,70,47,45,43,55,48,26,10,1,0
Se13 白血病,3,1,3,3,2,2,5,13,11,13,21,23,63,63,78,120,105,67,30,4,1,0
Se14 糖尿病,0,0,0,1,0,1,2,1,8,9,24,43,83,102,147,180,237,210,140,45,6,0
Se15 高血圧性疾患,0,0,0,0,0,0,0,1,1,4,4,6,14,21,30,53,76,126,125,82,26,1
Se16 心疾患（高血圧性を除く）,13,1,0,3,6,15,31,54,94,144,207,317,683,820,1211,1983,2910,3399,2861,1482,304,3
Se17 急性心筋梗塞,0,0,0,0,1,1,4,12,25,48,81,101,200,259,333,471,659,620,408,174,19,2
Se18 その他の虚血性心疾患,0,0,0,0,1,5,10,10,23,31,52,83,176,194,275,467,519,557,367,146,33,0
Se19 不整脈及び伝導障害,3,0,0,1,2,4,9,12,14,27,26,48,105,113,191,289,424,466,379,185,36,0
Se20 心不全,3,0,0,1,0,2,3,10,20,29,30,49,130,149,285,533,996,1360,1405,820,192,1
Se21 脳血管疾患,1,1,3,1,4,7,10,28,73,99,126,228,451,513,762,1268,1923,2116,1561,718,147,3
Se22 くも膜下出血,0,0,0,0,3,2,8,15,33,40,42,70,106,115,126,144,163,130,71,22,2,0
Se23 脳内出血,1,1,3,0,0,4,1,11,31,47,65,129,231,193,260,411,521,474,273,98,11,3
Se24 脳梗塞,0,0,0,0,1,1,0,1,6,9,17,25,107,188,353,682,1199,1465,1187,584,130,0
Se25 大動脈瘤及び解離,0,0,0,0,1,2,2,6,11,7,22,34,72,86,140,198,266,249,148,47,8,0
Se26 肺炎,8,0,0,3,2,4,5,4,9,29,35,62,172,288,494,1120,1975,2541,2099,1037,278,0
Se27 慢性閉塞性肺疾患,0,0,0,0,0,0,0,0,1,1,1,6,31,50,86,235,343,380,184,57,8,0
Se28 喘息,1,0,0,0,0,1,0,2,1,3,4,4,2,3,12,16,26,42,24,21,1,0
Se29 肝疾患,1,0,1,0,1,0,3,15,40,50,72,95,140,143,185,183,172,104,49,17,2,3
Se30 腎不全,0,0,0,0,0,0,0,1,3,4,15,18,64,74,151,261,420,536,356,198,25,0
Se31 老衰,0,0,0,0,0,0,0,0,0,0,0,0,0,7,26,108,435,960,1485,1321,540,0
Se32 不慮の事故,22,6,9,20,34,33,45,35,73,57,94,87,168,216,294,433,562,476,326,107,18,4
Se33 交通事故,7,4,4,18,20,13,19,10,30,15,30,19,36,49,38,62,50,23,14,2,0,0
Se34 自殺,0,0,2,43,107,155,150,173,178,193,207,180,203,177,162,142,93,59,24,3,0,12
