,0-04歳,05-09歳,10-14歳,15-19歳,20-24歳,25-29歳,30-34歳,35-39歳,40-44歳,45-49歳,50-54歳,55-59歳,60-64歳,65-69歳,70-74歳,75-79歳,80-84歳,85-89歳,90-94歳,95-99歳,100歳以上,不詳
総数,190,27,34,90,176,186,265,348,670,1058,1567,2132,3226,6622,8962,12285,16989,20955,17903,8416,2204,40
Se01 結核,0,0,0,0,0,0,0,0,0,1,2,1,4,8,7,9,37,47,48,8,3,0
Se02 悪性新生物＜腫瘍＞,9,8,8,6,13,21,44,89,227,358,623,980,1629,3398,4244,5074,5673,5009,2957,851,114,2
Se03 食道の悪性新生物＜腫瘍＞,0,0,0,0,0,0,0,0,1,9,15,44,89,146,196,191,140,91,37,6,1,0
Se04 胃の悪性新生物＜腫瘍＞,0,0,0,0,0,3,3,12,23,36,57,87,157,373,463,593,729,593,399,113,11,0
Se05 結腸の悪性新生物＜腫瘍＞,0,0,0,0,1,0,8,5,16,29,50,94,154,291,356,411,532,505,389,119,14,0
Se06 直腸Ｓ状結腸移行部及び直腸の悪性新生物＜腫瘍＞,0,0,0,0,0,0,2,4,10,15,39,53,101,201,171,220,188,147,82,19,3,1
Se07 肝及び肝内胆管の悪性新生物＜腫瘍＞,0,1,0,0,1,0,0,0,5,12,26,50,105,220,267,349,447,384,159,51,5,0
Se08 胆のう及びその他の胆道の悪性新生物＜腫瘍＞,0,0,0,0,0,0,0,0,8,4,12,22,56,130,185,234,320,318,201,58,9,0
Se09 膵の悪性新生物＜腫瘍＞,1,1,0,0,0,0,1,5,14,34,63,107,153,367,471,532,567,441,253,67,5,0
Se10 気管，気管支及び肺の悪性新生物＜腫瘍＞,0,0,0,0,0,2,0,2,16,39,78,152,285,714,999,1143,1132,993,547,138,16,0
Se11 乳房の悪性新生物＜腫瘍＞,0,0,0,0,0,0,5,15,38,53,79,104,116,163,129,153,124,98,73,39,9,0
Se12 子宮の悪性新生物＜腫瘍＞,0,0,0,0,0,1,5,9,31,23,54,41,54,70,60,62,80,60,35,8,2,0
Se13 白血病,1,0,4,1,3,4,2,6,9,14,17,22,40,66,105,141,120,125,43,10,3,0
Se14 糖尿病,0,0,0,0,0,0,0,2,4,13,24,23,34,85,113,158,199,197,123,49,7,0
Se15 高血圧性疾患,0,0,0,0,0,0,0,1,0,2,4,8,16,25,41,53,84,126,164,88,23,0
Se16 心疾患（高血圧性を除く）,3,0,2,2,9,10,18,19,61,124,171,222,354,646,957,1372,2124,3193,3034,1472,330,0
Se17 急性心筋梗塞,1,0,0,0,0,0,3,7,15,28,63,60,98,162,201,285,371,441,279,97,23,0
Se18 その他の虚血性心疾患,0,0,0,0,1,2,2,4,15,39,42,65,94,170,270,302,398,420,309,100,37,0
Se19 不整脈及び伝導障害,0,0,1,0,6,2,9,2,16,22,30,32,48,109,134,194,313,463,433,208,32,0
Se20 心不全,1,0,0,1,0,2,2,1,6,21,21,31,76,125,240,409,791,1484,1650,918,211,0
Se21 脳血管疾患,1,2,2,3,2,4,7,29,47,86,139,156,221,378,628,962,1353,1802,1511,663,146,3
Se22 くも膜下出血,0,0,0,2,1,2,3,13,20,32,52,49,74,66,95,117,127,126,88,19,4,0
Se23 脳内出血,1,2,2,0,1,2,3,16,24,45,69,85,97,175,250,326,427,469,310,114,14,3
Se24 脳梗塞,0,0,0,0,0,0,1,0,1,5,14,18,43,132,267,503,774,1172,1076,511,121,0
Se25 大動脈瘤及び解離,0,0,0,0,0,1,1,0,7,22,24,29,27,97,112,165,241,284,178,57,7,1
Se26 肺炎,1,0,0,0,0,2,2,3,3,9,16,30,60,174,328,623,1218,1825,1720,741,204,0
Se27 慢性閉塞性肺疾患,0,0,0,0,0,0,0,0,1,2,2,9,17,64,126,237,298,398,275,91,14,0
Se28 喘息,0,0,0,0,0,0,1,0,0,2,2,0,2,5,6,10,20,22,27,13,4,0
Se29 肝疾患,3,0,0,1,0,1,2,14,35,60,91,84,114,143,152,156,171,149,68,19,3,1
Se30 腎不全,0,0,0,1,1,0,0,0,1,7,5,15,29,64,121,198,363,494,383,155,29,0
Se31 老衰,0,0,0,0,0,0,0,0,0,0,0,0,1,14,64,193,698,1778,2803,2178,886,0
Se32 不慮の事故,15,5,1,23,29,25,27,24,42,53,58,68,104,191,213,308,419,425,365,147,32,4
Se33 交通事故,5,4,1,14,17,17,13,15,18,16,21,15,18,27,32,48,44,35,10,2,0,1
Se34 自殺,0,0,10,43,92,88,116,102,118,161,151,141,93,131,150,115,100,60,21,2,1,4
