,0-04歳,05-09歳,10-14歳,15-19歳,20-24歳,25-29歳,30-34歳,35-39歳,40-44歳,45-49歳,50-54歳,55-59歳,60-64歳,65-69歳,70-74歳,75-79歳,80-84歳,85-89歳,90-94歳,95-99歳,100歳以上,不詳
総数,261,32,47,99,178,245,296,521,830,1202,1633,2552,5173,7057,9580,13811,19355,21101,15575,7222,1931,37
Se01 結核,0,0,0,0,0,0,0,1,0,0,0,0,4,6,9,19,32,42,38,13,0,1
Se02 悪性新生物＜腫瘍＞,12,7,11,9,17,23,58,118,210,423,662,1159,2533,3450,4226,5196,5521,4465,2117,658,93,2
Se03 食道の悪性新生物＜腫瘍＞,0,0,0,0,0,0,0,1,2,8,24,52,114,153,190,177,122,86,30,7,1,0
Se04 胃の悪性新生物＜腫瘍＞,0,0,0,0,0,1,8,13,25,44,81,128,311,455,558,722,738,590,292,90,11,1
Se05 結腸の悪性新生物＜腫瘍＞,0,0,0,0,1,2,4,12,19,30,62,97,201,275,365,414,474,437,271,74,19,0
Se06 直腸Ｓ状結腸移行部及び直腸の悪性新生物＜腫瘍＞,0,0,0,0,0,0,2,5,9,16,41,61,152,167,197,202,178,133,58,23,5,0
Se07 肝及び肝内胆管の悪性新生物＜腫瘍＞,1,1,1,0,0,0,3,2,7,15,45,76,181,281,332,508,555,316,137,32,0,0
Se08 胆のう及びその他の胆道の悪性新生物＜腫瘍＞,0,0,0,0,0,1,0,1,1,6,14,31,86,125,168,271,299,270,142,47,6,0
Se09 膵の悪性新生物＜腫瘍＞,0,0,0,0,0,0,2,2,15,27,45,110,225,341,380,482,438,318,138,58,8,0
Se10 気管，気管支及び肺の悪性新生物＜腫瘍＞,0,0,0,0,2,0,4,20,19,42,86,201,512,762,930,1030,1175,924,422,104,10,0
Se11 乳房の悪性新生物＜腫瘍＞,0,0,0,0,0,2,7,19,32,94,79,118,150,131,140,121,87,85,60,19,5,0
Se12 子宮の悪性新生物＜腫瘍＞,0,0,0,0,1,2,6,8,15,25,36,34,54,68,52,54,57,55,22,7,1,0
Se13 白血病,2,3,5,2,6,7,8,4,13,21,12,28,55,77,99,123,129,99,30,8,0,0
Se14 糖尿病,0,0,1,0,0,1,1,4,15,8,15,26,72,96,131,177,227,203,120,33,9,0
Se15 高血圧性疾患,0,0,0,0,0,0,0,1,2,2,6,7,14,23,32,49,92,133,145,83,27,0
Se16 心疾患（高血圧性を除く）,10,1,3,2,8,16,23,62,98,125,211,312,616,877,1207,1942,3026,3731,3009,1374,351,1
Se17 急性心筋梗塞,1,0,0,0,1,4,3,14,25,27,68,89,200,275,321,521,653,683,403,151,25,0
Se18 その他の虚血性心疾患,0,0,0,2,2,3,6,16,33,33,50,85,155,205,306,418,570,562,378,142,40,0
Se19 不整脈及び伝導障害,0,0,1,0,4,7,8,15,18,28,45,59,91,124,188,271,488,580,397,164,32,0
Se20 心不全,2,0,0,0,1,1,3,8,11,18,30,55,107,186,264,534,996,1487,1474,777,219,0
Se21 脳血管疾患,1,1,3,2,2,5,8,40,88,108,147,214,413,514,746,1196,1940,2180,1632,695,160,2
Se22 くも膜下出血,0,1,1,1,2,3,3,17,42,44,55,77,94,88,133,124,185,144,73,20,0,1
Se23 脳内出血,1,0,1,1,0,2,3,16,41,57,76,108,206,239,291,378,523,489,278,81,15,1
Se24 脳梗塞,0,0,1,0,0,0,2,5,5,6,13,26,94,174,310,668,1178,1487,1249,579,137,0
Se25 大動脈瘤及び解離,0,0,0,0,0,2,1,4,9,17,22,33,68,113,149,236,342,321,160,55,4,1
Se26 肺炎,12,4,1,2,3,5,3,7,14,20,31,65,157,274,570,1143,2041,2705,2135,1004,241,2
Se27 慢性閉塞性肺疾患,0,0,0,0,0,0,0,0,1,0,3,8,19,48,112,204,357,339,177,40,10,0
Se28 喘息,0,0,0,0,1,0,0,0,1,1,3,4,3,9,8,12,21,35,25,11,1,0
Se29 肝疾患,1,0,0,0,2,2,3,13,37,53,68,105,140,149,161,189,188,111,43,13,2,0
Se30 腎不全,0,0,0,0,0,0,0,5,4,8,12,24,38,98,130,250,426,547,400,158,27,1
Se31 老衰,0,0,0,0,0,0,0,0,0,0,0,0,3,10,52,161,574,1366,2038,1581,682,1
Se32 不慮の事故,18,4,5,24,33,33,37,47,57,62,77,91,197,254,350,462,630,636,352,141,30,2
Se33 交通事故,4,3,1,19,17,14,17,17,21,23,20,20,43,57,73,75,71,53,19,5,0,0
Se34 自殺,0,0,9,38,85,113,109,137,166,197,148,152,151,169,144,129,105,55,26,5,0,5
