,0-04歳,05-09歳,10-14歳,15-19歳,20-24歳,25-29歳,30-34歳,35-39歳,40-44歳,45-49歳,50-54歳,55-59歳,60-64歳,65-69歳,70-74歳,75-79歳,80-84歳,85-89歳,90-94歳,95-99歳,100歳以上,不詳
総数,335,93,63,147,240,331,412,696,904,1324,1913,3460,6221,7309,9919,15120,20026,19847,14671,7278,1787,59
Se01 結核,0,0,0,0,0,0,1,1,0,1,3,6,11,10,14,26,37,49,33,8,0,0
Se02 悪性新生物＜腫瘍＞,6,15,5,16,17,25,69,149,221,414,693,1496,2863,3191,4139,5271,5365,3901,1912,625,84,1
Se03 食道の悪性新生物＜腫瘍＞,0,0,0,0,0,0,0,4,4,8,28,75,145,175,190,185,110,63,35,6,1,0
Se04 胃の悪性新生物＜腫瘍＞,0,0,0,0,1,2,11,22,27,48,85,190,391,469,597,767,739,557,325,102,9,1
Se05 結腸の悪性新生物＜腫瘍＞,0,0,0,2,2,2,5,7,17,29,52,109,210,224,337,417,466,399,236,86,13,0
Se06 直腸Ｓ状結腸移行部及び直腸の悪性新生物＜腫瘍＞,0,0,0,0,0,2,3,8,8,26,47,77,189,148,173,169,179,133,62,23,5,0
Se07 肝及び肝内胆管の悪性新生物＜腫瘍＞,1,0,0,1,0,0,2,6,8,29,49,104,280,312,461,624,488,283,98,27,5,0
Se08 胆のう及びその他の胆道の悪性新生物＜腫瘍＞,0,0,0,0,0,0,1,1,5,2,13,41,99,125,189,246,320,303,162,44,8,0
Se09 膵の悪性新生物＜腫瘍＞,0,0,0,0,0,1,0,6,11,22,49,118,244,299,341,409,395,300,132,39,8,0
Se10 気管，気管支及び肺の悪性新生物＜腫瘍＞,0,0,0,0,1,0,2,6,24,54,108,271,523,642,835,1132,1220,738,334,105,11,0
Se11 乳房の悪性新生物＜腫瘍＞,0,0,0,0,0,3,5,16,38,64,84,128,165,116,112,113,108,78,40,20,3,0
Se12 子宮の悪性新生物＜腫瘍＞,0,0,0,0,0,0,8,15,21,26,27,59,61,51,39,58,61,46,21,7,1,0
Se13 白血病,0,3,3,6,3,4,8,11,7,18,22,38,63,61,89,118,114,71,23,7,0,0
Se14 糖尿病,0,0,0,1,2,2,1,3,4,19,33,48,91,106,153,211,253,213,137,54,10,1
Se15 高血圧性疾患,0,0,0,0,0,0,0,2,1,0,8,10,14,9,34,57,115,162,163,97,22,0
Se16 心疾患（高血圧性を除く）,11,0,1,13,16,19,34,47,106,160,241,400,799,953,1354,2304,3425,3777,3039,1568,322,3
Se17 急性心筋梗塞,0,0,0,0,0,3,7,10,36,51,88,107,271,304,380,616,811,802,456,196,21,1
Se18 その他の虚血性心疾患,0,0,0,1,5,5,5,11,17,38,55,89,190,214,329,521,635,604,417,165,38,0
Se19 不整脈及び伝導障害,1,0,0,1,5,2,6,9,19,29,35,77,113,130,207,329,505,504,399,198,33,1
Se20 心不全,0,0,0,0,4,7,6,10,25,27,41,80,150,218,312,583,1159,1430,1466,873,205,0
Se21 脳血管疾患,0,1,4,0,1,6,11,46,71,122,149,267,470,627,919,1523,2280,2302,1801,833,159,1
Se22 くも膜下出血,0,0,0,0,1,2,4,21,31,46,47,78,107,104,140,166,195,173,75,22,3,0
Se23 脳内出血,0,1,4,0,0,1,5,22,36,59,77,147,238,277,346,462,635,539,316,115,16,0
Se24 脳梗塞,0,0,0,0,0,2,2,1,2,10,15,35,107,224,405,854,1388,1550,1367,673,136,1
Se25 大動脈瘤及び解離,0,0,0,0,0,1,2,3,4,13,27,35,87,116,164,221,359,302,176,58,5,0
Se26 肺炎,16,1,2,2,4,3,5,12,17,18,36,87,196,281,594,1221,2282,2668,2208,1078,288,1
Se27 慢性閉塞性肺疾患,0,2,0,0,0,0,0,0,0,0,2,10,22,63,92,251,366,410,227,89,12,1
Se28 喘息,0,0,0,0,1,0,2,2,2,3,5,4,5,9,19,28,35,35,27,14,4,0
Se29 肝疾患,0,1,0,0,0,0,5,22,29,66,82,114,178,193,176,200,162,137,64,15,1,0
Se30 腎不全,1,0,0,0,0,1,0,6,4,2,18,31,61,82,154,290,472,589,388,198,35,1
Se31 老衰,0,0,0,0,0,0,0,0,0,0,0,0,0,7,25,116,438,906,1433,1256,517,0
Se32 不慮の事故,67,48,26,69,64,93,87,138,137,133,193,273,407,414,480,716,886,708,392,135,32,16
Se33 交通事故,4,2,1,16,18,25,18,19,24,23,23,27,43,51,53,65,71,39,7,1,1,0
Se34 自殺,0,0,6,30,108,143,152,179,187,195,195,248,253,195,125,122,83,53,19,3,0,11
