,0-04歳,05-09歳,10-14歳,15-19歳,20-24歳,25-29歳,30-34歳,35-39歳,40-44歳,45-49歳,50-54歳,55-59歳,60-64歳,65-69歳,70-74歳,75-79歳,80-84歳,85-89歳,90-94歳,95-99歳,100歳以上,不詳
総数,267,29,35,100,218,262,337,540,863,1197,1669,2612,5050,6800,8842,13270,18068,19579,14226,6840,1781,56
Se01 結核,0,0,0,0,0,0,1,1,1,1,0,1,12,6,13,22,40,49,27,8,0,1
Se02 悪性新生物＜腫瘍＞,6,6,9,17,15,25,49,116,267,385,656,1226,2534,3345,3966,5089,5321,4193,2038,579,99,1
Se03 食道の悪性新生物＜腫瘍＞,0,0,0,0,0,0,0,1,4,6,22,48,120,167,174,168,127,81,25,7,0,0
Se04 胃の悪性新生物＜腫瘍＞,0,0,0,1,3,5,4,15,26,55,57,172,347,410,571,688,723,566,289,79,13,0
Se05 結腸の悪性新生物＜腫瘍＞,0,0,0,1,0,1,4,6,24,27,56,113,182,261,350,423,456,460,253,85,14,0
Se06 直腸Ｓ状結腸移行部及び直腸の悪性新生物＜腫瘍＞,0,0,0,0,1,0,0,1,18,17,39,74,149,156,149,211,187,147,55,21,2,0
Se07 肝及び肝内胆管の悪性新生物＜腫瘍＞,1,0,0,1,0,1,1,0,8,20,39,76,211,280,353,503,479,322,118,24,4,0
Se08 胆のう及びその他の胆道の悪性新生物＜腫瘍＞,0,0,0,0,0,0,0,3,4,3,15,31,83,120,171,268,305,288,150,49,6,0
Se09 膵の悪性新生物＜腫瘍＞,0,0,0,0,1,1,2,5,12,31,56,107,250,325,355,394,393,306,165,33,9,0
Se10 気管，気管支及び肺の悪性新生物＜腫瘍＞,0,0,0,0,0,0,3,11,30,52,79,214,496,724,870,1115,1167,836,377,89,15,1
Se11 乳房の悪性新生物＜腫瘍＞,0,0,0,0,0,1,9,27,52,59,95,109,148,128,130,110,110,84,52,19,7,0
Se12 子宮の悪性新生物＜腫瘍＞,0,0,0,0,1,2,5,14,18,23,36,31,59,59,41,57,67,43,31,10,2,0
Se13 白血病,2,1,4,4,4,5,5,10,12,12,17,32,52,75,96,120,118,81,31,13,1,0
Se14 糖尿病,0,0,1,1,2,2,2,3,14,16,17,36,68,87,122,187,215,206,141,41,3,1
Se15 高血圧性疾患,0,0,0,0,0,0,0,2,1,2,2,12,11,25,35,46,71,103,122,81,22,0
Se16 心疾患（高血圧性を除く）,13,1,2,3,12,18,18,45,88,150,203,287,573,778,996,1661,2722,3328,2644,1362,327,3
Se17 急性心筋梗塞,0,0,0,0,1,2,0,13,28,40,71,92,176,213,296,402,551,591,347,139,32,1
Se18 その他の虚血性心疾患,0,0,0,0,1,5,4,9,22,45,42,65,158,213,216,358,507,438,286,132,11,2
Se19 不整脈及び伝導障害,3,0,0,1,5,4,3,11,8,28,35,54,75,120,179,266,425,484,349,170,41,0
Se20 心不全,2,0,0,1,3,3,6,7,14,22,41,56,108,162,203,465,930,1412,1321,776,213,0
Se21 脳血管疾患,1,0,2,1,0,2,12,34,57,96,130,184,375,498,693,1224,1896,2160,1588,655,160,1
Se22 くも膜下出血,0,0,0,1,0,2,6,17,25,39,46,51,96,96,93,118,171,130,69,23,4,0
Se23 脳内出血,0,0,2,0,0,0,4,14,25,50,69,97,176,215,239,391,548,514,245,91,18,1
Se24 脳梗塞,1,0,0,0,0,0,1,2,5,6,11,32,96,177,345,686,1139,1468,1230,522,133,0
Se25 大動脈瘤及び解離,0,0,1,0,1,1,1,2,5,11,14,42,51,77,103,158,254,279,156,50,5,0
Se26 肺炎,8,1,0,2,3,7,7,9,14,16,31,59,173,296,545,1075,2024,2651,2138,1042,228,2
Se27 慢性閉塞性肺疾患,1,0,0,0,0,2,0,0,0,2,5,7,27,60,103,240,333,372,181,54,9,0
Se28 喘息,0,0,0,0,0,0,0,0,2,0,2,5,3,5,7,12,30,35,34,8,5,0
Se29 肝疾患,0,0,0,0,1,0,4,10,26,57,92,99,129,154,160,175,154,126,69,19,1,1
Se30 腎不全,1,0,0,0,1,1,0,2,0,2,11,10,51,83,130,240,418,521,376,180,28,0
Se31 老衰,0,0,0,0,0,0,0,0,0,0,0,0,1,7,38,130,503,1164,1611,1290,576,0
Se32 不慮の事故,22,8,4,31,24,30,29,34,47,64,71,99,169,201,269,394,488,433,268,126,30,5
Se33 交通事故,6,5,2,22,9,17,13,17,11,26,25,28,37,37,52,57,52,23,7,3,0,0
Se34 自殺,0,0,6,29,116,135,151,200,189,224,208,184,202,204,203,168,121,77,29,10,0,14
