,0-04歳,05-09歳,10-14歳,15-19歳,20-24歳,25-29歳,30-34歳,35-39歳,40-44歳,45-49歳,50-54歳,55-59歳,60-64歳,65-69歳,70-74歳,75-79歳,80-84歳,85-89歳,90-94歳,95-99歳,100歳以上,不詳
総数,201,30,27,91,155,177,252,333,734,1172,1616,2267,3789,7535,9337,13490,19373,23516,19756,9088,2470,67
Se01 結核,0,0,0,0,0,0,0,0,1,0,1,1,2,4,12,14,30,44,49,16,0,1
Se02 悪性新生物＜腫瘍＞,5,7,5,13,13,18,31,77,232,376,615,993,1752,3577,4110,5085,5763,5069,2881,774,101,0
Se03 食道の悪性新生物＜腫瘍＞,0,0,0,0,0,0,0,2,3,3,18,42,77,156,173,195,156,97,39,9,0,0
Se04 胃の悪性新生物＜腫瘍＞,0,0,0,1,1,2,1,5,22,38,72,77,195,413,493,640,716,634,350,97,9,0
Se05 結腸の悪性新生物＜腫瘍＞,0,0,0,0,2,0,3,11,17,27,54,88,156,318,372,430,517,562,366,129,19,0
Se06 直腸Ｓ状結腸移行部及び直腸の悪性新生物＜腫瘍＞,0,0,0,1,0,0,2,4,9,22,34,65,101,202,196,207,193,158,76,23,4,0
Se07 肝及び肝内胆管の悪性新生物＜腫瘍＞,1,0,0,0,1,0,0,1,10,13,41,72,103,206,277,382,484,350,184,46,3,0
Se08 胆のう及びその他の胆道の悪性新生物＜腫瘍＞,0,0,0,0,0,0,0,0,1,4,6,28,66,142,165,229,319,302,223,48,10,0
Se09 膵の悪性新生物＜腫瘍＞,0,0,0,0,0,0,2,2,17,28,51,95,185,375,441,534,532,442,210,63,10,0
Se10 気管，気管支及び肺の悪性新生物＜腫瘍＞,0,0,0,0,0,1,4,6,27,38,80,151,298,777,872,1130,1201,1010,516,114,20,0
Se11 乳房の悪性新生物＜腫瘍＞,0,0,0,0,0,5,1,10,37,74,88,101,108,181,140,112,124,103,76,32,5,0
Se12 子宮の悪性新生物＜腫瘍＞,0,0,0,0,0,1,6,4,26,23,36,36,52,61,52,49,58,53,34,21,2,0
Se13 白血病,2,2,1,3,2,3,3,3,9,11,16,22,42,79,102,123,117,86,46,10,1,0
Se14 糖尿病,0,0,0,1,0,1,1,3,7,15,22,35,35,93,115,145,204,223,162,46,12,0
Se15 高血圧性疾患,0,0,0,0,0,0,0,1,3,8,6,8,23,37,40,55,102,155,213,111,44,0
Se16 心疾患（高血圧性を除く）,3,3,2,5,7,10,18,24,72,174,192,280,491,923,1152,1799,2838,3915,3533,1733,417,6
Se17 急性心筋梗塞,0,0,0,1,0,1,6,5,15,49,51,91,136,267,291,411,564,646,412,150,25,3
Se18 その他の虚血性心疾患,0,0,0,0,0,1,6,4,21,39,52,74,133,233,272,416,552,554,368,156,35,1
Se19 不整脈及び伝導障害,0,0,1,2,3,3,3,8,12,39,31,46,68,131,195,258,446,598,533,222,48,0
Se20 心不全,0,0,0,1,2,3,1,3,11,31,38,44,100,179,274,492,955,1629,1760,1008,259,0
Se21 脳血管疾患,0,0,1,0,2,4,14,22,72,109,166,181,279,516,662,1104,1672,2105,1791,742,170,0
Se22 くも膜下出血,0,0,0,0,2,4,8,10,27,54,55,60,67,103,95,147,158,179,105,36,2,0
Se23 脳内出血,0,0,1,0,0,0,5,12,39,45,98,94,150,251,264,391,545,555,389,120,23,0
Se24 脳梗塞,0,0,0,0,0,0,1,0,6,7,12,24,58,152,280,533,929,1324,1252,568,141,0
Se25 大動脈瘤及び解離,0,1,1,0,1,0,3,8,15,20,29,42,58,124,181,223,341,396,254,70,8,0
Se26 肺炎,2,0,0,1,1,1,1,2,3,12,23,34,88,214,391,745,1460,2130,2020,885,227,0
Se27 慢性閉塞性肺疾患,0,0,0,0,0,0,0,0,0,0,3,8,18,67,122,207,349,407,236,78,10,0
Se28 喘息,0,0,0,0,0,0,2,1,2,4,3,2,3,7,4,16,24,31,27,14,1,0
Se29 肝疾患,1,0,0,0,0,1,8,9,22,65,76,79,138,190,164,200,200,156,80,24,1,0
Se30 腎不全,0,0,0,0,1,0,0,2,2,4,10,11,37,101,134,238,394,574,477,182,41,0
Se31 老衰,0,0,0,0,0,0,0,0,0,0,0,0,1,13,58,199,751,1973,3068,2215,955,0
Se32 不慮の事故,8,2,7,23,29,22,21,22,50,67,70,78,127,259,328,412,642,694,544,207,51,4
Se33 交通事故,1,1,3,14,23,16,7,7,14,21,27,26,29,44,48,63,66,54,21,4,0,2
Se34 自殺,0,0,4,32,79,78,107,90,136,139,138,130,102,119,115,121,77,43,26,4,0,6
