,0-04歳,05-09歳,10-14歳,15-19歳,20-24歳,25-29歳,30-34歳,35-39歳,40-44歳,45-49歳,50-54歳,55-59歳,60-64歳,65-69歳,70-74歳,75-79歳,80-84歳,85-89歳,90-94歳,95-99歳,100歳以上,不詳
総数,151,23,35,119,182,173,243,333,590,1053,1616,2161,3150,5051,10540,12113,17476,22117,20241,10642,2785,60
Se01 結核,0,0,0,0,0,0,0,0,1,0,0,1,1,1,10,11,16,36,27,16,3,0
Se02 悪性新生物＜腫瘍＞,3,9,3,11,19,12,33,71,140,364,617,900,1468,2419,4896,4869,5579,5304,3171,1022,156,0
Se03 食道の悪性新生物＜腫瘍＞,0,0,0,0,0,0,0,0,1,12,14,47,66,86,168,149,147,117,34,16,0,0
Se04 胃の悪性新生物＜腫瘍＞,0,0,0,0,0,1,4,9,14,29,50,51,143,241,534,541,616,594,374,113,12,0
Se05 結腸の悪性新生物＜腫瘍＞,0,0,0,0,1,0,4,7,9,33,65,80,138,205,438,429,489,549,363,141,22,0
Se06 直腸Ｓ状結腸移行部及び直腸の悪性新生物＜腫瘍＞,0,0,0,0,0,0,2,3,12,25,41,61,78,157,240,185,198,147,117,39,3,0
Se07 肝及び肝内胆管の悪性新生物＜腫瘍＞,2,0,0,0,1,0,1,2,1,7,25,41,83,149,261,304,372,346,184,51,7,0
Se08 胆のう及びその他の胆道の悪性新生物＜腫瘍＞,0,0,0,0,0,0,0,0,1,4,11,18,50,88,204,173,259,313,207,71,14,0
Se09 膵の悪性新生物＜腫瘍＞,0,0,0,0,0,0,1,5,6,29,50,94,173,270,551,537,619,515,268,77,16,0
Se10 気管，気管支及び肺の悪性新生物＜腫瘍＞,0,0,0,0,0,0,1,3,13,35,71,129,245,494,1128,1164,1219,977,567,177,24,0
Se11 乳房の悪性新生物＜腫瘍＞,0,0,0,0,0,1,4,12,22,59,91,125,107,135,184,137,154,131,93,36,8,0
Se12 子宮の悪性新生物＜腫瘍＞,0,0,0,0,0,1,2,8,12,42,39,48,46,49,70,63,72,62,48,13,1,0
Se13 白血病,0,2,2,2,8,2,4,3,10,12,11,25,38,72,136,136,134,125,62,15,0,0
Se14 糖尿病,0,0,0,0,1,0,0,1,3,9,14,24,43,62,117,139,199,223,169,58,9,1
Se15 高血圧性疾患,0,0,0,0,0,0,0,2,1,7,8,13,23,35,58,50,81,158,167,126,39,1
Se16 心疾患（高血圧性を除く）,5,0,1,3,5,6,19,26,55,123,205,293,374,554,1185,1458,2310,3234,3574,1883,410,4
Se17 急性心筋梗塞,0,0,0,0,0,0,1,5,12,36,56,72,94,120,275,259,328,410,315,116,22,1
Se18 その他の虚血性心疾患,0,0,0,0,1,2,3,4,10,29,67,81,103,158,307,327,465,515,395,159,17,1
Se19 不整脈及び伝導障害,0,0,1,1,2,1,6,9,13,22,38,49,54,111,176,255,365,488,541,285,40,0
Se20 心不全,1,0,0,0,1,1,3,6,13,24,30,57,75,116,292,463,861,1421,1872,1132,293,2
Se21 脳血管疾患,0,1,2,0,2,4,9,16,49,85,114,148,191,292,627,852,1322,1707,1428,711,143,1
Se22 くも膜下出血,0,0,1,0,1,3,5,11,19,35,38,44,50,46,88,104,132,131,80,19,3,0
Se23 脳内出血,0,1,1,0,1,1,4,5,24,40,63,83,87,130,268,286,418,509,296,119,26,1
Se24 脳梗塞,0,0,0,0,0,0,0,0,4,7,8,17,44,107,251,437,744,1030,1017,548,109,0
Se25 大動脈瘤及び解離,0,0,0,0,0,1,2,4,14,18,27,40,35,62,133,166,248,295,205,76,6,0
Se26 肺炎,2,0,0,0,2,0,0,2,3,2,12,16,41,101,271,426,876,1132,1142,585,121,1
Se27 慢性閉塞性肺疾患,0,0,0,0,0,0,0,0,0,0,3,1,12,36,127,198,263,322,221,50,9,0
Se28 喘息,0,0,0,0,0,0,0,0,1,1,1,2,2,2,6,3,15,15,12,6,2,0
Se29 肝疾患,1,0,0,0,0,1,3,15,33,47,85,111,122,146,178,137,234,141,92,27,1,2
Se30 腎不全,1,0,0,0,0,0,1,2,2,4,12,22,24,68,174,217,375,554,526,211,39,0
Se31 老衰,0,0,0,0,0,0,0,0,0,0,0,0,2,11,107,286,966,2454,3920,3223,1331,0
Se32 不慮の事故,6,2,3,15,20,17,15,20,27,35,56,50,82,111,244,305,443,547,489,199,39,5
Se33 交通事故,1,2,1,10,14,9,7,9,6,6,16,8,18,15,30,34,34,26,15,2,0,0
Se34 自殺,0,0,18,72,110,103,113,109,149,178,183,158,128,106,138,126,100,64,29,9,1,2
