,0-04歳,05-09歳,10-14歳,15-19歳,20-24歳,25-29歳,30-34歳,35-39歳,40-44歳,45-49歳,50-54歳,55-59歳,60-64歳,65-69歳,70-74歳,75-79歳,80-84歳,85-89歳,90-94歳,95-99歳,100歳以上,不詳
総数,194,30,39,104,158,185,262,396,745,1143,1539,2269,3465,6969,9052,12328,17600,21416,18015,8675,2182,44
Se01 結核,0,0,0,0,0,0,0,0,0,0,0,2,4,7,5,15,20,47,38,16,0,0
Se02 悪性新生物＜腫瘍＞,5,6,13,10,23,21,51,97,239,377,625,985,1655,3428,4292,4925,5420,4955,2735,821,91,2
Se03 食道の悪性新生物＜腫瘍＞,0,0,0,0,0,0,0,2,4,9,19,40,68,132,165,152,146,102,31,10,3,0
Se04 胃の悪性新生物＜腫瘍＞,0,0,0,0,1,1,4,11,21,37,42,92,164,420,508,608,709,549,353,98,9,0
Se05 結腸の悪性新生物＜腫瘍＞,0,0,0,0,2,3,11,8,22,41,61,92,163,308,384,429,480,537,359,128,12,0
Se06 直腸Ｓ状結腸移行部及び直腸の悪性新生物＜腫瘍＞,0,0,0,0,0,1,0,2,14,16,40,63,93,184,182,197,192,161,74,22,5,1
Se07 肝及び肝内胆管の悪性新生物＜腫瘍＞,1,0,0,1,1,0,1,4,9,17,24,50,106,231,292,323,486,413,153,37,5,0
Se08 胆のう及びその他の胆道の悪性新生物＜腫瘍＞,0,0,0,0,0,0,0,0,1,4,14,19,37,120,161,237,317,310,185,80,6,0
Se09 膵の悪性新生物＜腫瘍＞,0,0,0,0,0,0,1,2,20,31,54,95,189,370,459,518,469,422,224,67,9,1
Se10 気管，気管支及び肺の悪性新生物＜腫瘍＞,0,0,0,0,1,0,4,4,16,44,82,171,320,737,978,1084,1025,1001,495,114,17,0
Se11 乳房の悪性新生物＜腫瘍＞,0,0,0,0,0,0,5,15,50,60,93,99,105,161,162,128,107,102,69,35,3,0
Se12 子宮の悪性新生物＜腫瘍＞,0,0,0,0,0,0,4,14,20,32,43,42,51,63,58,68,63,67,30,12,2,0
Se13 白血病,0,0,4,4,4,7,5,6,9,5,14,23,35,76,99,128,121,88,38,14,0,0
Se14 糖尿病,0,0,0,0,2,0,4,4,4,14,12,33,39,82,107,130,204,218,152,59,9,0
Se15 高血圧性疾患,0,0,0,0,0,0,0,1,3,4,9,13,17,32,39,55,98,155,158,101,29,0
Se16 心疾患（高血圧性を除く）,8,1,4,3,5,13,19,25,78,163,181,272,386,804,998,1507,2508,3353,3275,1686,372,4
Se17 急性心筋梗塞,1,0,0,0,1,0,2,6,20,42,39,88,98,218,225,276,459,457,311,122,15,1
Se18 その他の虚血性心疾患,0,0,1,0,0,2,2,2,13,40,60,72,97,221,268,381,442,482,340,133,17,1
Se19 不整脈及び伝導障害,2,0,0,2,1,4,9,9,20,25,34,42,57,96,129,224,355,486,496,214,31,1
Se20 心不全,0,0,2,1,2,4,4,4,16,39,26,43,89,181,260,457,942,1495,1718,1021,268,1
Se21 脳血管疾患,0,0,0,3,3,4,12,34,56,100,119,155,232,473,611,944,1506,1889,1593,717,138,1
Se22 くも膜下出血,0,0,0,2,2,2,5,15,21,46,47,54,57,74,109,118,141,137,92,19,8,0
Se23 脳内出血,0,0,0,0,1,2,6,17,33,47,62,81,122,238,226,325,471,502,335,111,10,0
Se24 脳梗塞,0,0,0,1,0,0,0,1,1,7,8,18,48,149,258,478,859,1205,1127,566,118,1
Se25 大動脈瘤及び解離,0,0,0,0,0,2,1,3,5,20,28,45,64,88,146,184,263,306,207,60,7,1
Se26 肺炎,2,1,0,0,0,4,0,5,4,10,18,35,74,172,374,666,1255,1849,1776,834,189,0
Se27 慢性閉塞性肺疾患,0,0,0,0,0,0,0,0,0,0,1,6,19,56,127,197,363,375,250,74,12,0
Se28 喘息,0,0,0,0,0,0,0,1,2,1,3,1,2,7,5,11,12,30,19,20,5,0
Se29 肝疾患,2,0,0,0,0,1,5,17,34,56,84,101,136,164,163,179,223,152,69,25,6,0
Se30 腎不全,1,0,0,1,0,1,0,0,1,9,7,22,37,84,135,221,364,575,408,132,32,0
Se31 老衰,0,0,0,0,0,0,0,0,0,0,0,0,4,14,40,183,674,1739,2775,2058,835,0
Se32 不慮の事故,13,7,3,19,13,24,26,24,33,56,53,72,101,192,220,319,446,532,384,161,41,0
Se33 交通事故,3,5,2,15,11,12,16,8,11,19,14,15,19,28,31,41,45,28,10,1,0,0
Se34 自殺,0,0,7,56,83,88,102,108,150,164,167,142,129,139,125,114,105,58,20,6,0,5
